policy,age_mode,extra_delay,seed,pre_wAoI,post_wAoI,post_age_mae,post_age_bias,post_max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
Conservative-AoI Bayes-Safe,conservative,2,0,322.29117647058825,683.975,1.972250000000001,1.972250000000001,0.3775267249444843,23.99972645418843,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,2,1,279.5529411764706,512.677,1.9899166666666648,1.9899166666666648,0.3779145899656216,23.96160375962647,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,2,2,260.0276470588235,489.0525,1.9880000000000002,1.9880000000000002,0.3618055092098192,23.99851152606237,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,2,3,291.29470588235296,476.225,1.9991249999999987,1.9991249999999987,0.35932888488423637,23.977359484221974,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,2,4,290.73117647058825,536.535,1.9744583333333308,1.9744583333333308,0.3308963724911807,23.98350739927309,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,4,0,408.1029411764706,743.2545,3.9743749999999958,3.9743749999999958,0.36077258034635606,23.993016148125186,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,4,1,366.40764705882356,633.3475,3.963291666666668,3.963291666666668,0.3563518956432591,23.99825509962213,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,4,2,327.4688235294118,661.04,3.9290833333333324,3.9290833333333324,0.32172525818956976,23.992513511412785,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,4,3,362.76941176470586,562.4695,3.996333333333334,3.996333333333334,0.3312563157526555,23.877891745626588,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,4,4,347.7629411764706,650.222,3.9382916666666765,3.9382916666666765,0.3277747085997545,23.985446396097988,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,8,0,511.7323529411765,926.227,7.775333333333334,7.775333333333334,0.34960315061427055,23.98527896320331,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,8,1,461.21647058823527,738.3295,7.960708333333332,7.960708333333332,0.3563518956432591,23.99029188363299,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,8,2,434.14529411764704,790.0195,7.835416666666678,7.835416666666678,0.3271415083274413,23.959502371390766,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,8,3,498.0176470588235,746.2935,7.9513749999999845,7.9513749999999845,0.3069267558386188,23.994002356156233,0.41200000000000003,True,True
Conservative-AoI Bayes-Safe,conservative,8,4,473.74823529411765,787.895,7.785125000000002,7.785125000000002,0.3024807292625339,23.979900091343897,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,2,0,261.9223529411765,546.905,2.386263856148217,-0.20292155215676555,0.3965147554890297,23.995955160104145,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,2,1,231.80882352941177,446.213,1.9664362546718177,-0.1181072551622256,0.38812849780253017,23.998691324716226,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,2,2,220.78117647058824,401.278,1.7432722526747195,-0.07691038203486256,0.38997000992675124,23.99600132356698,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,2,3,232.98294117647058,386.3275,1.9264555692253067,-0.13194718108029208,0.37242941714564076,23.991873310538033,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,2,4,227.8594117647059,447.1395,1.8926214726430646,-0.12893110850328038,0.3782867105519178,23.998624315966243,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,4,0,296.26529411764704,592.546,4.384494681715667,-0.7500768873407747,0.39895926086406097,23.996851411941012,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,4,1,241.49,437.1315,3.5647332379476726,-0.5319776539893492,0.39266801239671173,23.999127549811096,0.41200000000000003,True,True
Expected-AoI Bayes-Safe,expected,4,2,232.0441176470588,419.4645,3.091268099439547,-0.3342559353027225,0.39755276011977136,23.99851152606258,0.41200000000000003,True,True
