scenario,grid_size,seed,wAoI,mean_power,max_avg_power,max_queue,max_prefix_violation,mean_model_entropy,feasible,certificate_ok,pre_wAoI,post_wAoI,post_mean_power,post_max_avg_power,final_model_entropy,post_feasible
stationary-dwell8,6,0,418.51864864864865,0.23472279235558624,0.3785400681109349,23.99985081491027,6.168642727537347,0.48897404202792344,True,True,,,,,,
stationary-dwell8,6,1,367.8181081081081,0.21611729586659745,0.3641126374793084,23.97687854885245,16.736311012280172,0.4958382782892062,True,True,,,,,,
stationary-dwell8,6,2,419.8654054054054,0.24429280818969493,0.3889697799496988,23.999156129561758,16.995067985969015,0.4848721478461877,True,True,,,,,,
stationary-dwell8,6,3,386.5410810810811,0.21429131142016222,0.37737166968739966,23.988673729753067,13.254911855862895,0.46684934190885186,True,True,,,,,,
stationary-dwell8,6,4,380.36135135135135,0.2211172076294111,0.38821010563699765,23.994230157972098,23.184186339592216,0.47426626464164406,True,True,,,,,,
shift-dwell2-to14,6,0,,,,23.991919965156683,,,,True,268.49,595.5465,0.2663774825799711,0.38408851760783014,0.4639112586543457,True
shift-dwell2-to14,6,1,,,,23.997004108327804,,,,True,245.97882352941176,538.8315,0.2366496276354172,0.3991722714414394,0.46273850555977897,True
shift-dwell2-to14,6,2,,,,23.99862940623355,,,,True,270.0388235294118,574.1805,0.26142137146255545,0.382089059148713,0.5669731825273031,True
shift-dwell2-to14,6,3,,,,23.990180256045583,,,,True,225.82235294117646,460.1125,0.2218891517243767,0.39950359334773805,0.537308147760751,True
shift-dwell2-to14,6,4,,,,23.981281136091336,,,,True,265.39882352941174,619.906,0.2759261930446313,0.3844349285703665,0.558994047856897,True
stationary-dwell8,12,0,410.7683783783784,0.2357213181664801,0.3845170803134852,23.999651901457337,12.842371273044806,0.5708485521956255,True,True,,,,,,
stationary-dwell8,12,1,364.1643243243243,0.21596105338523508,0.3612775001463217,23.98734620010754,13.881786607368099,0.5580235998668948,True,True,,,,,,
stationary-dwell8,12,2,413.9578378378378,0.24388571105067794,0.3908220169970783,23.99915612956181,15.241928218540473,0.5713590846989071,True,True,,,,,,
stationary-dwell8,12,3,386.6554054054054,0.2129699747044662,0.3785870373836554,23.996395712823773,12.14348857063114,0.5565486380111526,True,True,,,,,,
stationary-dwell8,12,4,381.9964864864865,0.22043196208118335,0.38763920842282557,23.98686902705715,23.111048341248296,0.5292278910474645,True,True,,,,,,
shift-dwell2-to14,12,0,,,,23.998156868508943,,,,True,269.30529411764707,602.356,0.2663579327023465,0.39246101935404987,0.6055313817643372,True
shift-dwell2-to14,12,1,,,,23.995286387269246,,,,True,247.10470588235293,557.8395,0.23626141349838434,0.3965197703192497,0.5818733250243225,True
shift-dwell2-to14,12,2,,,,23.99766564157408,,,,True,259.6652941176471,589.676,0.2618280330276646,0.38323789007179854,0.6528289861686064,True
shift-dwell2-to14,12,3,,,,23.996726752015206,,,,True,218.40882352941176,464.0675,0.22057926679263262,0.39051476249741407,0.6010553816246028,True
shift-dwell2-to14,12,4,,,,23.9912380491931,,,,True,251.31411764705882,610.536,0.27552782261886843,0.37877975460849733,0.6293480012232514,True
stationary-dwell8,20,0,420.6335135135135,0.23563794545060723,0.3901386750549102,23.999850814910275,12.842371273044806,0.6454028552933971,True,True,,,,,,
stationary-dwell8,20,1,356.6754054054054,0.21607683264273617,0.3615851839185028,23.99432463427734,15.525682111928985,0.6097343752022533,True,True,,,,,,
stationary-dwell8,20,2,412.35621621621624,0.24371249906304507,0.3908220169970783,23.99915612956188,21.908085728296818,0.6257323901833011,True,True,,,,,,
stationary-dwell8,20,3,380.26675675675676,0.2132592350886816,0.37797935353552753,23.988673729753092,15.146460540547825,0.5984636739576906,True,True,,,,,,
stationary-dwell8,20,4,387.35783783783785,0.22060206975875737,0.38859178972122277,23.992202391579053,23.111048341248264,0.591235553709773,True,True,,,,,,
shift-dwell2-to14,20,0,,,,23.998156868508918,,,,True,260.8270588235294,587.2945,0.2671143470388157,0.38932133119921747,0.6674897479014344,True
shift-dwell2-to14,20,1,,,,23.990358551618044,,,,True,257.0841176470588,540.7,0.23637166311364033,0.3981354603467863,0.6316670011812654,True
shift-dwell2-to14,20,2,,,,23.99890352498682,,,,True,264.9788235294118,569.932,0.2617897650984682,0.3842464108351454,0.7076587240501367,True
shift-dwell2-to14,20,3,,,,23.978955604387956,,,,True,226.6005882352941,467.5865,0.22108338492777402,0.3935110394475221,0.641750923167259,True
shift-dwell2-to14,20,4,,,,23.994557020226857,,,,True,255.56823529411764,630.8375,0.2741807510950515,0.3719532750453543,0.6920892906577695,True
