scenario,forget,seed,wAoI,mean_power,max_avg_power,max_queue,max_prefix_violation,mean_model_entropy,feasible,certificate_ok,pre_wAoI,post_wAoI,post_mean_power,post_max_avg_power,final_model_entropy,post_feasible
stationary-dwell8,0.0,0,413.2175675675676,0.2338292924346387,0.3747164310593094,23.999850814910275,14.021396227682871,0.27437562025108503,True,True,,,,,,
stationary-dwell8,0.0,1,351.6381081081081,0.21510321953322895,0.3536556842711675,23.99781385136257,15.180367765937397,0.28344320574705745,True,True,,,,,,
stationary-dwell8,0.0,2,415.60432432432435,0.24199742254766157,0.3753867082689155,23.999156129561968,18.123750595417434,0.2929713648333794,True,True,,,,,,
stationary-dwell8,0.0,3,367.87756756756755,0.21258598886230592,0.3542819563477477,23.99433686487658,15.743488570631142,0.2640489896900254,True,True,,,,,,
stationary-dwell8,0.0,4,375.2327027027027,0.21730275780931438,0.3804109099376181,23.99463462506983,23.186869027057227,0.2860445098869121,True,True,,,,,,
stationary-dwell8,0.0005,0,396.0245945945946,0.23457641611836233,0.37833332609791764,23.999850814910275,14.421396227682871,0.39501432662776204,True,True,,,,,,
stationary-dwell8,0.0005,1,359.6005405405405,0.2155160351393138,0.36264245053814753,23.9873462001077,17.069579996135644,0.40606396264281686,True,True,,,,,,
stationary-dwell8,0.0005,2,409.65162162162164,0.24305513380220953,0.3871175429023192,23.999156129561865,19.279493677737058,0.4174012300793803,True,True,,,,,,
stationary-dwell8,0.0005,3,372.10486486486485,0.2131262171447719,0.3640026250285868,23.98730133334239,13.49505833255805,0.38730874129757303,True,True,,,,,,
stationary-dwell8,0.0005,4,381.0710810810811,0.21967336218293335,0.38250113349527715,23.99463462506983,23.121496626725992,0.3885524622553862,True,True,,,,,,
stationary-dwell8,0.002,0,410.7683783783784,0.2357213181664801,0.3845170803134852,23.999651901457337,12.842371273044806,0.5708485521956255,True,True,,,,,,
stationary-dwell8,0.002,1,364.19,0.21596105338523508,0.3612775001463217,23.98734620010754,13.881786607368099,0.5580235998668948,True,True,,,,,,
stationary-dwell8,0.002,2,413.5116216216216,0.24374749394923603,0.3871175429023192,23.99915612956181,15.241928218540473,0.5750564314123007,True,True,,,,,,
