policy,wAoI,wAoI_std,power,steady_feasible,peak_cum_viol,pcv_std,post_shift_power,recovers,needs_tuning,value_aware
Opportunistic,309.58307142857143,22.14088449824883,0.3222336404569199,True,0.4181272743284497,0.8362545486568995,1.737564694270643,True,False,False
Cost-AoI-Whittle,107.27471428571428,6.5307806974248575,2.0165926091085065,True,4.53971583111459,3.460161694779432,2.137595776801286,True,False,False
Lyap-DPP (no value),84.50571428571428,4.779399091519815,2.3967109304783016,True,8.72114757105599,5.130456558904809,2.5190244043518426,True,False,False
FreshSky-DPP (ours),76.67935714285714,4.30457970850079,2.416000869453147,True,36.48166483734951,17.589332500203856,2.805466253058445,True,False,True
AoI-Energy Online [Abd-Elmagid'25],74.53592857142857,4.0452994783943925,2.5505865014726057,True,80.52839984010501,21.60969805233809,2.92335378968954,True,True,True
Tang-CMDP [JSAC'20],83.66778571428571,5.798811671236563,3.423606596023147,False,1300.7032902912235,85.66778047699337,3.8844372634799433,False,True,False
Deep Index Policy (RL),108.87378571428572,6.040923193992313,2.270996382301073,True,3392.909347057458,396.773753562177,5.229197402577016,False,True,True
Fixed-Price Thr.,83.51771428571428,4.147037550641252,1.4805672898940905,True,3792.306301353,166.04243665899185,5.568774126642067,False,True,True
Round-Robin,105.537,5.589392916589456,4.351512202724591,False,4649.054952913041,128.77196185951033,6.124388226192333,False,False,False
Max-Weight,66.8955,4.157354963599735,4.728615308358149,False,5364.199137733897,121.52696498279424,6.6075953212646965,False,False,True
VoI-Greedy,66.8955,4.157354963599735,4.728615308358149,False,5364.199137733897,121.52696498279424,6.6075953212646965,False,False,True
AoII-Whittle,65.97564285714286,3.86841323333968,4.777365425103076,False,5568.005234633801,114.33798459625892,6.756062756303185,False,False,True
CW-Whittle [Zhou-Lin'24],65.96964285714286,3.883589977030775,4.755468113664319,False,5601.034795003738,125.53575479400214,6.770161769358872,False,False,True
Max-Age-First,70.49285714285715,4.396155592372376,4.891244006002422,False,5700.107447668687,185.0273758878361,6.820802385955602,False,False,False
Whittle-AoI,70.49285714285715,4.396155592372376,4.891244006002422,False,5700.107447668687,185.0273758878361,6.820802385955602,False,False,False
