variant,seed,weighted_AoI,power_per_UAV_mW
Full,0,425.3908108108108,0.22025337373912945
Full,1,377.88054054054055,0.19547008543886665
Full,2,427.13756756756754,0.2206926719409766
Full,3,399.4372972972973,0.19599926274829024
Full,4,418.85,0.19295474771134236
No value,0,440.6297297297297,0.20797700154038445
No value,1,402.0116216216216,0.18378746093624668
No value,2,451.1702702702703,0.2037789125844183
No value,3,422.7935135135135,0.18521235863638222
No value,4,482.35135135135135,0.1797243458622766
No belief,0,438.68891891891894,0.2570837569155518
No belief,1,371.32243243243244,0.2443132658799875
No belief,2,424.8651351351351,0.2718439302057433
No belief,3,376.9972972972973,0.24290918745392534
No belief,4,388.5062162162162,0.2532509483241963
No queue,0,386.1983783783784,0.24582109252484052
No queue,1,336.2608108108108,0.2228073888175437
No queue,2,374.34945945945947,0.25593085187818215
No queue,3,336.8572972972973,0.2251217794415589
No queue,4,340.34,0.23359344960827044
