method,seed,weighted_AoI,max_power_per_UAV_mW
Genie,0,252.96864864864864,0.25409608231242364
Genie,1,233.20756756756757,0.2199114568861084
Genie,2,258.91324324324324,0.23214704327156488
Genie,3,221.6264864864865,0.25705026775808404
Genie,4,229.14891891891892,0.23315507383273393
FreshSky-B,0,399.8608108108108,0.37901802274238805
FreshSky-B,1,350.06432432432433,0.3615851839185028
FreshSky-B,2,391.35297297297296,0.3969961404883434
FreshSky-B,3,356.1564864864865,0.38466387586493395
FreshSky-B,4,366.1783783783784,0.388007441165251
Belief-DPP 2026,0,386.1983783783784,0.5306785435905355
Belief-DPP 2026,1,336.2608108108108,0.42449254778736306
Belief-DPP 2026,2,374.9237837837838,0.5748108970367766
Belief-DPP 2026,3,339.11432432432434,0.5007314908573546
Belief-DPP 2026,4,341.9335135135135,0.5066301980275187
Memoryless,0,428.27378378378376,0.4508518982623003
Memoryless,1,373.91945945945946,0.4366511139132772
Memoryless,2,424.4656756756757,0.4395975925780727
Memoryless,3,379.6021621621622,0.42380915124427554
Memoryless,4,402.7351351351351,0.46338840488560834
