mean_NLoS_dwell,seed,belief_gain_percent
1.5,0,0.4574808133440814
1.5,1,-1.5400231165933493
1.5,2,-1.1978807420414865
1.5,3,-1.149175891990991
1.5,4,-1.6052618120334174
2.0,0,-2.9706113682032163
2.0,1,-3.50324390198919
2.0,2,-2.6829535152708726
2.0,3,-2.0100075729158564
2.0,4,-4.294981679412723
3.0,0,-2.4860512823812293
3.0,1,-1.468665172285715
3.0,2,-1.3447521625068606
3.0,3,-3.4455471186391935
3.0,4,-5.314159980441405
5.0,0,4.90729143887132
5.0,1,0.01806436073667627
5.0,2,1.5209054629962144
5.0,3,0.8466276174911828
5.0,4,-1.5322504912158985
8.0,0,10.138688597331612
8.0,1,8.167330086212388
8.0,2,7.153242913115606
8.0,3,7.932852263149339
8.0,4,4.472379714731856
14.0,0,12.564708974497911
14.0,1,12.264750146452917
14.0,2,14.765755526536921
14.0,3,12.31037590006862
14.0,4,11.060060090514746
20.0,0,19.760490331119712
20.0,1,12.154775509281194
20.0,2,17.698045214871804
20.0,3,13.935771142184286
20.0,4,12.63251865882318
