method,severity,seed,peak_cumulative_excess
FreshSky,0,0,12.248393511638298
FreshSky,0,1,0.0
FreshSky,0,2,2.407159064850689
FreshSky,0,3,19.402089074670876
FreshSky,0,4,0.0
FreshSky,1,0,55.3336150570907
FreshSky,1,1,24.4568367610634
FreshSky,1,2,68.03301508375219
FreshSky,1,3,55.064926695142326
FreshSky,1,4,23.24847892202388
FreshSky,2,0,45.25774741114616
FreshSky,2,1,23.60043709432102
FreshSky,2,2,58.19752388678304
FreshSky,2,3,46.079164734758216
FreshSky,2,4,9.27345105973909
FreshSky,3,0,33.878997016595775
FreshSky,3,1,29.0027622337022
FreshSky,3,2,63.091261889502945
FreshSky,3,3,45.34401763297454
FreshSky,3,4,18.03107803592816
FreshSky,4,0,25.73254684511057
FreshSky,4,1,24.056786510338384
FreshSky,4,2,71.73590785307012
FreshSky,4,3,37.3947507319782
FreshSky,4,4,8.566469132347011
AoI-Energy 2025,0,0,9.460406892936405
AoI-Energy 2025,0,1,0.0
AoI-Energy 2025,0,2,2.854670590414713
AoI-Energy 2025,0,3,19.28034095035932
AoI-Energy 2025,0,4,2.6915065958631885
AoI-Energy 2025,1,0,112.81673770632055
AoI-Energy 2025,1,1,87.66487360181513
AoI-Energy 2025,1,2,91.4681646377472
AoI-Energy 2025,1,3,81.00882393722495
AoI-Energy 2025,1,4,52.02246327827733
AoI-Energy 2025,2,0,100.44191668103397
AoI-Energy 2025,2,1,56.84384610937001
AoI-Energy 2025,2,2,104.77919031099253
AoI-Energy 2025,2,3,87.3117133988244
AoI-Energy 2025,2,4,53.2653327003041
AoI-Energy 2025,3,0,105.48056181384781
AoI-Energy 2025,3,1,41.35885018451158
AoI-Energy 2025,3,2,103.41570884662897
AoI-Energy 2025,3,3,67.29646845016823
AoI-Energy 2025,3,4,34.86213320127998
AoI-Energy 2025,4,0,83.31107791195494
AoI-Energy 2025,4,1,49.98186969865945
AoI-Energy 2025,4,2,117.84256821873255
AoI-Energy 2025,4,3,66.01218951235383
AoI-Energy 2025,4,4,18.227970271652033
Fixed-Price,0,0,54.39837533933852
Fixed-Price,0,1,59.58057481483679
Fixed-Price,0,2,115.8644853656327
Fixed-Price,0,3,49.405331950580816
Fixed-Price,0,4,13.139765978044636
Fixed-Price,1,0,3159.882253160847
Fixed-Price,1,1,2921.8669409895306
Fixed-Price,1,2,2952.5668487585385
Fixed-Price,1,3,2868.917528193726
Fixed-Price,1,4,2995.667693644881
Fixed-Price,2,0,4106.519012734878
Fixed-Price,2,1,3671.3794772086885
Fixed-Price,2,2,3813.3906507920856
Fixed-Price,2,3,3661.929804346889
Fixed-Price,2,4,3708.312561682462
Fixed-Price,3,0,4559.179997971658
Fixed-Price,3,1,4081.463388927429
Fixed-Price,3,2,4347.883585082967
Fixed-Price,3,3,3926.577379370824
Fixed-Price,3,4,3857.510046537785
Fixed-Price,4,0,4404.952492220227
Fixed-Price,4,1,3971.518580841784
Fixed-Price,4,2,4220.13564366763
Fixed-Price,4,3,3798.877240458621
Fixed-Price,4,4,3697.9839453659256
