method,seed,detection_latency,energy_feasible
FreshSky,0,2.1964285714285716,True
FreshSky,1,2.0,True
FreshSky,2,1.8103448275862069,True
FreshSky,3,1.9285714285714286,True
FreshSky,4,2.0598290598290596,True
Lyap-DPP,0,3.171171171171171,True
Lyap-DPP,1,2.9296875,True
Lyap-DPP,2,2.6724137931034484,True
Lyap-DPP,3,2.6904761904761907,True
Lyap-DPP,4,2.7264957264957266,True
Max-Weight,0,1.8839285714285714,False
Max-Weight,1,1.8671875,False
Max-Weight,2,1.793103448275862,False
Max-Weight,3,1.6428571428571428,False
Max-Weight,4,1.982905982905983,False
Max-Age,0,2.3392857142857144,False
Max-Age,1,2.3828125,False
Max-Age,2,2.0517241379310347,False
Max-Age,3,1.8095238095238095,False
Max-Age,4,2.1196581196581197,False
Opportun.,0,12.238532110091743,True
Opportun.,1,15.056451612903226,True
Opportun.,2,8.495575221238939,True
Opportun.,3,14.729508196721312,True
Opportun.,4,12.295652173913043,True
