method,seed,post_shift_power_mW,final_energy_backlog
FreshSky,0,2.787239642024705,1166.4290464322376
FreshSky,1,2.8307046244349365,1116.026599637862
FreshSky,2,2.8379827029069165,1381.2335375631365
FreshSky,3,2.7994368838812598,1076.9249950564413
FreshSky,4,2.7719674120444053,1122.6860812187126
AoI-Energy 2025,0,2.911246153169514,1740.364050669637
AoI-Energy 2025,1,2.9499519781938788,1834.3411914620378
AoI-Energy 2025,2,2.9869926567931064,2105.747897611495
AoI-Energy 2025,3,2.873599917523955,1625.5312029418167
AoI-Energy 2025,4,2.8949782427672437,1757.0869058051553
Fixed-Price,0,5.731683012953047,51061.40199222784
Fixed-Price,1,5.522461713073122,47446.78843636813
Fixed-Price,2,5.632830845821172,49578.11870734555
Fixed-Price,3,5.4751730218164285,47240.489019138564
Fixed-Price,4,5.4817220395465664,49484.81984605756
