parameter,value,policy,seed,weighted_AoI
mean_sojourn_N,2.0,FreshSky-DPP (ours),0,54.27964285714286
mean_sojourn_N,2.0,FreshSky-DPP (ours),1,55.284642857142856
mean_sojourn_N,2.0,FreshSky-DPP (ours),2,52.49928571428571
mean_sojourn_N,2.0,FreshSky-DPP (ours),3,56.38178571428571
mean_sojourn_N,2.0,FreshSky-DPP (ours),4,58.683928571428574
mean_sojourn_N,4.0,FreshSky-DPP (ours),0,69.49321428571429
mean_sojourn_N,4.0,FreshSky-DPP (ours),1,65.59571428571428
mean_sojourn_N,4.0,FreshSky-DPP (ours),2,61.504285714285714
mean_sojourn_N,4.0,FreshSky-DPP (ours),3,58.85035714285714
mean_sojourn_N,4.0,FreshSky-DPP (ours),4,63.3475
mean_sojourn_N,6.0,FreshSky-DPP (ours),0,68.85857142857142
mean_sojourn_N,6.0,FreshSky-DPP (ours),1,74.75535714285714
mean_sojourn_N,6.0,FreshSky-DPP (ours),2,73.15964285714286
mean_sojourn_N,6.0,FreshSky-DPP (ours),3,71.21285714285715
mean_sojourn_N,6.0,FreshSky-DPP (ours),4,70.38714285714286
mean_sojourn_N,8.0,FreshSky-DPP (ours),0,72.38464285714285
mean_sojourn_N,8.0,FreshSky-DPP (ours),1,80.61892857142857
mean_sojourn_N,8.0,FreshSky-DPP (ours),2,81.63321428571429
mean_sojourn_N,8.0,FreshSky-DPP (ours),3,72.79285714285714
mean_sojourn_N,8.0,FreshSky-DPP (ours),4,75.96714285714286
mean_sojourn_N,12.0,FreshSky-DPP (ours),0,76.61321428571429
mean_sojourn_N,12.0,FreshSky-DPP (ours),1,83.96607142857142
mean_sojourn_N,12.0,FreshSky-DPP (ours),2,83.47892857142857
mean_sojourn_N,12.0,FreshSky-DPP (ours),3,80.41928571428572
mean_sojourn_N,12.0,FreshSky-DPP (ours),4,76.43142857142857
mean_sojourn_N,16.0,FreshSky-DPP (ours),0,82.25142857142858
