method,seed,weighted_AoI,power_per_UAV_mW
FreshSky-B,0,2224.3305882352943,0.8610245172003825
FreshSky-B,1,2155.079411764706,0.8717252262924116
FreshSky-B,2,2550.63,0.8490552392194051
FreshSky-B,3,2196.504117647059,0.8719366781515169
Wang 2026,0,2209.871176470588,0.9348380007433378
Wang 2026,1,2193.7464705882353,0.9886410446207564
Wang 2026,2,2627.3682352941178,0.9748806308853117
Wang 2026,3,2303.2688235294117,0.9532396043569334
Memoryless,0,2298.528823529412,0.9106255764203963
Memoryless,1,2206.944705882353,0.9367473706065131
Memoryless,2,2718.200588235294,0.8941328581360831
Memoryless,3,2323.2282352941174,0.9366229518667667
