setting,pbar,policy,wAoI,wAoI_std,power,max_power,feasible
default,1.6,FreshSky-L learned,378.1153513513513,27.083239911928928,0.2630047102665621,0.6603905056310987,True
default,1.6,FreshSky-B oracle-transition,356.244,24.438912827794304,0.23546666632024865,0.47683943834895215,True
default,1.6,Belief-DPP oracle-transition,354.80118918918913,23.67896344304443,0.23665491245407916,0.5039822681560092,True
default,1.6,TS-DPP adapted learned,375.95735135135135,28.15996658933807,0.26431602846994195,0.6804069178136405,True
default,1.6,Wang'26 oracle-transition,342.20400000000006,21.507004892303023,0.27496799860011184,0.8309304129236932,True
default,1.6,Memoryless,385.7727027027027,31.130739206141882,0.2960914147436898,0.8238677094975311,True
binding-individual,0.4,FreshSky-L learned,396.0788108108108,21.731777231087698,0.23071646326173015,0.39548733005835457,True
binding-individual,0.4,FreshSky-B oracle-transition,372.7225945945946,21.87597822552385,0.22524573060419248,0.38205413283588385,True
binding-individual,0.4,Belief-DPP oracle-transition,355.68616216216213,23.14188223428482,0.236839556229764,0.5074687354599097,False
binding-individual,0.4,TS-DPP adapted learned,376.61324324324323,20.51244700339778,0.2639825303523493,0.6941668978460079,False
binding-individual,0.4,Wang'26 oracle-transition,342.20400000000006,21.507004892303023,0.27496799860011184,0.8309304129236932,False
binding-individual,0.4,Memoryless,401.79924324324327,24.92758061881797,0.25311850944716197,0.44285963217670676,False
