mean_dwell,extra_delay,gain_vs_conservative_pct,gain_vs_conservative_ci95_halfwidth,gap_vs_true_aoi_pct,gap_vs_true_aoi_ci95_halfwidth,expected_p99_slot_aoi,expected_cvar95_slot_aoi,certificate_all_seeds,paired_seeds
2.0,2,14.282425069543871,2.427183980433134,17.311875236816523,2.011307978446814,37.6,32.068603603603606,True,10
2.0,4,23.50533547847363,3.8409582828590705,28.319619570396082,3.1192099876320936,40.2,34.843333333333334,True,10
2.0,8,38.29008046318926,4.194026965562871,34.057151862180376,3.9005599388665035,43.9,37.81063063063063,True,10
4.0,2,16.10538887367388,3.298671526706946,4.45462169464379,2.5382085608930787,51.6,43.63054054054054,True,10
4.0,4,25.71315429765523,4.247768147561249,9.24182415764066,4.964995997912471,53.9,45.909819819819816,True,10
4.0,8,39.80218568265838,4.209917111231657,13.139481662104501,5.158209822137467,57.8,48.685135135135134,True,10
8.0,2,16.928488652033344,3.3580239676255785,-2.910530871151173,2.6208077705853743,64.4,54.597657657657656,True,10
8.0,4,27.089024280287248,2.7498072832960574,-0.19595986421402306,2.082482428467704,66.9,56.197432432432436,True,10
8.0,8,41.28045694037144,2.859181154578544,1.959157403197251,2.5156327814738466,68.1,57.71252252252252,True,10
14.0,2,15.156008929340894,2.4641326621909623,-1.8806995576355234,2.3283373034644863,87.2,72.5409009009009,True,10
14.0,4,25.27476673099658,2.013048706282789,-3.257613810923206,2.502729581516494,87.4,73.87693693693693,True,10
14.0,8,39.57815553188682,3.4087008758048216,-4.611794499390656,2.5129724547918433,86.1,72.60454954954955,True,10
