policy,extra_delay,seed,wAoI,worst_user_mean_aoi,p95_user_mean_aoi,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,slot_aoi_gt40,slot_aoi_gt60,mean_service_rate,worst_service_rate,jain_service_fairness,starvation_p95,starvation_max,rejection_rate,rejected_candidates,proposed_candidates,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,uav_pi_los,uav_pth,uav_mean_aoi,uav_avg_power,uav_service_rate,uav_max_queue,mean_dwell
Conservative-AoI Bayes-Safe,2,0,287.5943243243243,13.52108108108108,12.73993243243243,25.0,39.0,33.51981981981982,0.008198198198198198,0.0006756756756756757,0.1562162162162162,0.06135135135135135,0.8262173130617505,22.0,71.0,0.017027027027027027,189,11100,0.21016497873522413,0.3881608817015272,23.996187103855153,0.4064864864864865,True,True,0.95;0.2315765095;0.95;0.8081176242;0.6281327393;0.795200025;0.3394136806;0.9476946562;0.5005847781;0.95;0.23436609;0.2528380647,0.3369544871;1.95400716;0.2191119648;0.5235225351;0.7414402559;0.5383055036;1.361973486;0.3438720469;0.9427001774;0.2738400263;1.931388168;1.795260579,5.797837838;13.52108108;5.594864865;6.864324324;8.302162162;6.842162162;9.854054054;6.254864865;9.952972973;6.105135135;12.10081081;11.96081081,0.09507580663;0.3881608817;0.06253573913;0.1460203395;0.1817530573;0.1469428537;0.3519045008;0.09247369909;0.2183497438;0.07290065565;0.3815796624;0.3842828051,0.2435135135;0.06135135135;0.2402702703;0.1997297297;0.1486486486;0.1889189189;0.08;0.2343243243;0.1075675676;0.2310810811;0.06864864865;0.07054054054,0.3369544871;23.96237946;0.2191119648;1.635225351;3.131522047;1.644749533;17.83104551;0.3438720469;5.969701952;0.2738400263;23.98408667;23.9961871,2.0
Conservative-AoI Bayes-Safe,2,1,330.34864864864863,15.187567567567568,15.106554054054053,30.0,46.0,39.74864864864865,0.017274774774774775,0.001981981981981982,0.13565315315315318,0.05405405405405406,0.7220001149578748,25.0,83.0,0.052792792792792795,586,11100,0.269657832877599,0.39988376297872086,23.99795411497915,0.4064864864864865,True,True,0.5605092249;0.2181252996;0.2316669551;0.3707979081;0.95;0.95;0.2020086086;0.95;0.325972712;0.8362721814;0.2993435181;0.2334007936,0.8400796556;2.072097608;1.953264399;1.254604531;0.2976063768;0.2276934429;2.237061952;0.2579608484;1.414030367;0.4910760745;1.530799061;1.939147999,8.830810811;15.18756757;13.18432432;9.891891892;5.879459459;5.018648649;15.04027027;5.696486486;9.595675676;6.307297297;11.17675676;12.94810811,0.2097928654;0.3864182027;0.3932924262;0.3167028735;0.08871887393;0.07316959559;0.3936019813;0.07738825452;0.3806416879;0.1459955897;0.3702878809;0.399883763,0.1256756757;0.05837837838;0.06594594595;0.08837837838;0.2521621622;0.2794594595;0.05405405405;0.2540540541;0.08756756757;0.217027027;0.07675675676;0.06837837838,4.040876212;23.99795411;23.99308655;15.82491652;0.2976063768;0.2276934429;23.98665517;0.2579608484;23.96094558;1.766141118;23.53235021;23.99511572,2.0
Conservative-AoI Bayes-Safe,2,2,300.5597297297297,15.124324324324323,13.434337837837834,26.0,40.0,35.406306306306305,0.009166666666666667,0.0016666666666666668,0.14407657657657658,0.053513513513513515,0.8347968018829273,23.0,114.0,0.03045045045045045,338,11100,0.2342487333018836,0.4025550049076248,23.99436582728478,0.4064864864864865,True,True,0.2983974043;0.4720337023;0.7619171253;0.95;0.6042558466;0.7527600943;0.6803453125;0.2438339011;0.7053294905;0.1925045361;0.95;0.2931742638,1.535332493;0.9986066978;0.5764720931;0.328976203;0.7746227687;0.5870535051;0.6736618433;1.858825842;0.6430324214;2.34929577;0.2710575607;1.560894842,10.80378378;10.39027027;6.998918919;5.821621622;8.245135135;6.718918919;8.324864865;12.05162162;7.77;15.12432432;5.864054054;9.922972973,0.368894753;0.2334580523;0.1578287109;0.09460288648;0.2001457748;0.1602497406;0.1709644516;0.3863343439;0.1687525625;0.4025550049;0.07824039859;0.38895812,0.07891891892;0.1045945946;0.1924324324;0.2462162162;0.1440540541;0.1924324324;0.1589189189;0.06621621622;0.1662162162;0.05351351351;0.2424324324;0.08297297297,22.98722659;5.78746028;1.988248838;0.328976203;4.146227687;2.457588556;3.410280277;23.95354477;2.344259371;23.99436583;0.2710575607;23.93306354,2.0
Conservative-AoI Bayes-Safe,2,3,340.7935135135135,13.984324324324325,13.27958108108108,29.0,44.0,38.553153153153154,0.015405405405405406,0.0016666666666666668,0.12060810810810808,0.05891891891891892,0.7298978428987128,27.0,82.0,0.04738738738738739,526,11100,0.3079506735090026,0.38956705300924305,23.991284582442653,0.4064864864864865,True,True,0.2469621281;0.8215561338;0.8932287906;0.3220866759;0.225348274;0.2465631425;0.4834834838;0.2778755806;0.2645088005;0.3014458345;0.9387067142;0.2969367479,1.836175919;0.5080937316;0.4222105672;1.429873819;2.006740312;1.839030251;0.9755450403;1.641436133;1.719737046;1.520828652;0.3585144156;1.542388958,11.77297297;5.992972973;5.830810811;9.041621622;13.98432432;12.55324324;8.832972973;11.08810811;12.70297297;11.08837838;5.519459459;11.89162162,0.389567053;0.1559985079;0.1299723881;0.3845201216;0.3888737307;0.3876874582;0.2597059094;0.389508358;0.3746237997;0.3691092242;0.1090077615;0.3568337699,0.06945945946;0.2272972973;0.2472972973;0.09837837838;0.05891891892;0.06972972973;0.1216216216;0.07891891892;0.06702702703;0.07918918919;0.2581081081;0.07135135135,23.99128458;1.372843584;0.5998951051;23.95750808;23.95723651;23.96121002;6.730995443;23.98281227;23.98422275;23.90794947;0.3585144156;23.97567877,2.0
Conservative-AoI Bayes-Safe,2,4,330.0635135135135,13.26918918918919,12.987202702702703,28.0,42.0,36.83738738738739,0.012252252252252252,0.0009234234234234234,0.11263513513513514,0.06324324324324325,0.894083498315148,27.399999999999636,80.0,0.04279279279279279,475,11100,0.2806080952630876,0.39788068565923873,23.99853179602591,0.4064864864864865,True,True,0.662118963;0.6741961796;0.3640876;0.2460798207;0.2372011855;0.4128728207;0.5024050881;0.4159209977;0.2309431598;0.4380235493;0.7287104513;0.5641011845,0.6966749552;0.6813572012;1.27608378;1.842501298;1.908996959;1.13470463;0.9393093506;1.126874486;1.959226317;1.072981387;0.6151471375;0.8344446437,7.327297297;7.071891892;11.03;12.75648649;12.3927027;9.328648649;8.855945946;10.12;13.26918919;10.1127027;6.940810811;9.001621622,0.2003411223;0.1894909622;0.3093640948;0.3978806857;0.3941820748;0.311583758;0.2416817572;0.2738000441;0.3876090984;0.2650554022;0.1750675502;0.2212405934,0.1683783784;0.1697297297;0.08405405405;0.06972972973;0.06594594595;0.102972973;0.1178378378;0.09945945946;0.06324324324;0.1040540541;0.1724324324;0.1337837838,3.353449373;2.65085761;20.11076475;23.99766482;23.99586619;12.04936669;5.950330908;8.683740752;23.9985318;9.681367169;2.98176565;4.310001793,2.0
Conservative-AoI Bayes-Safe,2,5,320.0518918918919,13.190810810810811,13.150229729729729,28.0,44.0,37.45,0.01349099099099099,0.001509009009009009,0.13914414414414417,0.06567567567567567,0.7882057440535492,24.0,87.0,0.014234234234234235,158,11100,0.2422187321454791,0.38670679665387364,23.996615764848112,0.4064864864864865,True,True,0.9411489522;0.4821824971;0.3825098869;0.7544254172;0.3523107703;0.8677360717;0.95;0.2189202535;0.8265150398;0.3376263363;0.2625732011;0.2699141276,0.3546353857;0.9781203331;1.218803669;0.5851252029;1.315645181;0.4538598372;0.2241414152;2.064668323;0.5023771293;1.368663091;1.731770293;1.687095206,6.071621622;9.881891892;10.92567568;7.455675676;10.87054054;6.552162162;5.742162162;13.19081081;6.140810811;10.80594595;13.11702703;11.85216216,0.09939375538;0.2331627389;0.2892188166;0.1554535336;0.326066657;0.1258541062;0.06536448299;0.3867067967;0.1478618091;0.3392065013;0.3580552092;0.3802803788,0.2391891892;0.1081081081;0.08324324324;0.1827027027;0.08;0.2145945946;0.2459459459;0.06594594595;0.2267567568;0.08648648649;0.06567567568;0.07108108108,0.3546353857;8.493684664;10.90769907;1.881001623;16.3850006;0.7770188607;0.2241414152;23.96619375;1.526148422;21.54652366;23.98171842;23.99661576,2.0
Conservative-AoI Bayes-Safe,2,6,270.5308108108108,12.676216216216217,11.384013513513512,25.0,37.0,32.597747747747746,0.007004504504504504,0.0005855855855855856,0.16234234234234238,0.06756756756756757,0.8681588328742835,21.0,72.0,0.0,0,11100,0.16554025095616473,0.3377476428216076,23.118643171641544,0.4064864864864865,True,True,0.6600953202;0.4082536129;0.95;0.8542797728;0.5796663152;0.95;0.7238759829;0.298421524;0.95;0.3698913443;0.95;0.5870736138,0.6992694381;1.146768836;0.2551559305;0.4699577518;0.8105930222;0.2156180293;0.6208604762;1.535216558;0.2628816135;1.257463669;0.2571157349;0.7995478023,7.636756757;10.30783784;5.751081081;6.521891892;9.371351351;6.236756757;8.737027027;12.67621622;5.634324324;10.32675676;5.885135135;9.965675676,0.1787861861;0.258797832;0.07027132249;0.1290478583;0.1879699495;0.05792549219;0.1404487077;0.3377476428;0.07225691916;0.2977130199;0.07227036872;0.1832477125,0.1608108108;0.0872972973;0.2372972973;0.2189189189;0.1227027027;0.2248648649;0.1491891892;0.06756756757;0.2351351351;0.08540540541;0.2391891892;0.1197297297,3.093424943;9.895070218;0.2551559305;0.8897042624;4.916523245;0.2156180293;2.387744286;23.11864317;0.2628816135;10.1194187;0.2571157349;3.995930221,2.0
Conservative-AoI Bayes-Safe,2,7,284.7316216216216,16.160810810810812,14.103513513513512,25.0,40.0,35.39954954954955,0.00990990990990991,0.0024774774774774773,0.16457207207207206,0.052702702702702706,0.8275563221430854,22.0,102.0,0.0218018018018018,242,11100,0.18515828863587191,0.39456820916034746,23.998703695244927,0.4064864864864865,True,True,0.95;0.8194645516;0.5139536145;0.1957148488;0.2668165055;0.95;0.9166527097;0.2817874583;0.4060368001;0.95;0.95;0.8957240492,0.2129344738;0.5105004868;0.9182376412;2.309972111;1.705631049;0.2143947682;0.3910280632;1.619983796;1.152645744;0.2643493157;0.2202876177;0.4190042049,6.340810811;7.208108108;8.894054054;16.16081081;11.69432432;6.25;5.758648649;12.42027027;10.32432432;5.933783784;5.688108108;6.142702703,0.05680170964;0.1309364762;0.2243477913;0.3945682092;0.3761607935;0.05806042101;0.110016274;0.347639766;0.2710275128;0.07166009827;0.06358572317;0.1170946886,0.2256756757;0.1856756757;0.1164864865;0.0527027027;0.07027027027;0.2256756757;0.2413513514;0.06486486486;0.09054054054;0.227027027;0.2494594595;0.2251351351,0.2129344738;1.394504381;5.064138771;23.99553769;22.58407468;0.2143947682;0.3910280632;23.9987037;9.194977648;0.2643493157;0.2202876177;0.5710378445,2.0
Conservative-AoI Bayes-Safe,2,8,305.2402702702703,15.40972972972973,14.452729729729729,26.0,41.0,36.693243243243245,0.011103603603603603,0.0024324324324324323,0.15166666666666667,0.053513513513513515,0.7981909850173675,22.0,116.0,0.01792792792792793,199,11100,0.21992242100976264,0.3883707471902715,23.980282907935035,0.4064864864864865,True,True,0.924502767;0.7675714746;0.2938168902;0.223720696;0.8564804989;0.95;0.4732619221;0.198994158;0.3554966144;0.365156396;0.95;0.8950142286,0.3798996382;0.5699618165;1.557699888;2.021057334;0.4673466129;0.2347890628;0.9960890923;2.271318822;1.304697623;1.272612991;0.2590903055;0.4199186836,5.756216216;6.72972973;10.67054054;13.66972973;6.754864865;5.902702703;10.52189189;15.40972973;10.39567568;10.3927027;5.916486486;5.656216216,0.1095548416;0.1563543902;0.3532189747;0.3883707472;0.1263098954;0.06707352417;0.2347539699;0.3848964598;0.3131274294;0.3085226628;0.07170499265;0.1251811643,0.2359459459;0.1945945946;0.08027027027;0.06054054054;0.2089189189;0.2408108108;0.09972972973;0.05351351351;0.08216216216;0.08756756757;0.232972973;0.242972973,0.3798996382;1.759694532;20.53139084;23.98028291;1.140812741;0.2347890628;6.956980016;23.97067857;11.20804532;10.75929364;0.2590903055;0.559349469,2.0
Conservative-AoI Bayes-Safe,2,9,329.9918918918919,16.913513513513514,14.6157027027027,28.0,44.0,38.82387387387387,0.014346846846846846,0.002657657657657658,0.13939189189189188,0.04972972972972973,0.7517886907264353,25.0,126.0,0.056486486486486485,627,11100,0.2502591020611995,0.3994481823601241,23.996770524048827,0.4064864864864865,True,True,0.3257577326;0.6871221964;0.2523803769;0.1963495047;0.5437054116;0.2493362779;0.95;0.4363495231;0.95;0.6652629851;0.95;0.2127973752,1.414897118;0.6652565043;1.798374164;2.302374716;0.8671448273;1.819394726;0.209506079;1.076896197;0.2790122724;0.6926602831;0.247425482;2.123503268,11.07243243;8.478108108;11.65135135;16.91351351;8.777027027;12.73567568;5.251081081;8.995945946;5.502972973;7.451351351;5.452162162;12.62594595,0.3476058054;0.1657747289;0.3844632335;0.3932704921;0.2249889282;0.3948578284;0.06477701468;0.2706793143;0.08362827299;0.1963785505;0.07723687343;0.3994481824,0.07864864865;0.1540540541;0.07135135135;0.04972972973;0.1272972973;0.06621621622;0.2635135135;0.1048648649;0.2564864865;0.1675675676;0.2721621622;0.06081081081,20.37465012;3.317821547;23.99677052;23.99472673;5.874317237;23.98073508;0.209506079;6.492065771;0.2790122724;3.326602831;0.247425482;23.99665371,2.0
