seed,policy,rank
0,Conservative-AoI Safe,10.0
1,Conservative-AoI Safe,10.0
2,Conservative-AoI Safe,10.0
3,Conservative-AoI Safe,10.0
4,Conservative-AoI Safe,10.0
5,Conservative-AoI Safe,10.0
6,Conservative-AoI Safe,10.0
7,Conservative-AoI Safe,10.0
8,Conservative-AoI Safe,10.0
9,Conservative-AoI Safe,10.0
10,Conservative-AoI Safe,10.0
11,Conservative-AoI Safe,10.0
12,Conservative-AoI Safe,10.0
13,Conservative-AoI Safe,10.0
14,Conservative-AoI Safe,10.0
15,Conservative-AoI Safe,10.0
16,Conservative-AoI Safe,10.0
17,Conservative-AoI Safe,10.0
18,Conservative-AoI Safe,10.0
19,Conservative-AoI Safe,10.0
0,FreshSky-Safe,1.0
1,FreshSky-Safe,8.0
2,FreshSky-Safe,5.0
3,FreshSky-Safe,9.0
4,FreshSky-Safe,5.0
5,FreshSky-Safe,4.0
6,FreshSky-Safe,8.0
7,FreshSky-Safe,3.0
8,FreshSky-Safe,8.0
9,FreshSky-Safe,8.0
10,FreshSky-Safe,3.0
11,FreshSky-Safe,7.0
12,FreshSky-Safe,7.0
13,FreshSky-Safe,8.0
14,FreshSky-Safe,8.0
15,FreshSky-Safe,9.0
16,FreshSky-Safe,6.0
17,FreshSky-Safe,7.0
18,FreshSky-Safe,3.0
19,FreshSky-Safe,3.0
0,Ji'24-style Greedy-Safe,5.0
1,Ji'24-style Greedy-Safe,7.0
2,Ji'24-style Greedy-Safe,4.0
3,Ji'24-style Greedy-Safe,6.0
4,Ji'24-style Greedy-Safe,9.0
5,Ji'24-style Greedy-Safe,5.0
6,Ji'24-style Greedy-Safe,9.0
7,Ji'24-style Greedy-Safe,8.0
8,Ji'24-style Greedy-Safe,9.0
9,Ji'24-style Greedy-Safe,5.0
10,Ji'24-style Greedy-Safe,5.0
11,Ji'24-style Greedy-Safe,4.0
12,Ji'24-style Greedy-Safe,9.0
13,Ji'24-style Greedy-Safe,7.0
14,Ji'24-style Greedy-Safe,6.0
15,Ji'24-style Greedy-Safe,5.0
16,Ji'24-style Greedy-Safe,7.0
