policy,extra_delay,seed,uav,pi_los,pth,mean_aoi,avg_power,service_rate,max_queue
FreshSky-Safe,2,0,0,0.95,0.3369544871,4.777027027,0.08442075934,0.2086486486,0.3369544871
FreshSky-Safe,2,0,1,0.2315765095,1.95400716,19.49675676,0.3839360014,0.04486486486,23.99025059
FreshSky-Safe,2,0,2,0.95,0.2191119648,5.093243243,0.05631769689,0.2010810811,0.2191119648
FreshSky-Safe,2,0,3,0.8081176242,0.5235225351,6.231621622,0.1385212329,0.1872972973,1.511702816
FreshSky-Safe,2,0,4,0.6281327393,0.7414402559,9.437027027,0.2122122246,0.137027027,11.94049075
FreshSky-Safe,2,0,5,0.795200025,0.5383055036,6.413783784,0.1515984689,0.1840540541,3.166110072
FreshSky-Safe,2,0,6,0.3394136806,1.361973486,13.51567568,0.3831930809,0.07837837838,23.99181084
FreshSky-Safe,2,0,7,0.9476946562,0.3438720469,5.156216216,0.08234341447,0.1964864865,0.3438720469
FreshSky-Safe,2,0,8,0.5005847781,0.9427001774,11.16324324,0.2685421587,0.1067567568,14.79560497
FreshSky-Safe,2,0,9,0.95,0.2738400263,4.613243243,0.06335326013,0.2024324324,0.2738400263
FreshSky-Safe,2,0,10,0.23436609,1.931388168,18.66459459,0.3961955729,0.04810810811,23.99858589
FreshSky-Safe,2,0,11,0.2528380647,1.795260579,17.31783784,0.3973833552,0.05405405405,23.98672606
FreshSky-Safe,2,1,0,0.5605092249,0.8400796556,9.885675676,0.2701877811,0.1305405405,12.20278795
FreshSky-Safe,2,1,1,0.2181252996,2.072097608,23.61243243,0.3920184665,0.04108108108,23.99102781
FreshSky-Safe,2,1,2,0.2316669551,1.953264399,19.24648649,0.3927645169,0.04459459459,23.99722263
FreshSky-Safe,2,1,3,0.3707979081,1.254604531,14.66,0.3675652193,0.08675675676,23.93542526
FreshSky-Safe,2,1,4,0.95,0.2976063768,4.271081081,0.07914720939,0.2262162162,0.2976063768
FreshSky-Safe,2,1,5,0.95,0.2276934429,3.938378378,0.06393878033,0.247027027,0.2276934429
FreshSky-Safe,2,1,6,0.2020086086,2.237061952,26.19027027,0.3936019813,0.03324324324,23.98665517
FreshSky-Safe,2,1,7,0.95,0.2579608484,4.247297297,0.06693038229,0.2281081081,0.2579608484
FreshSky-Safe,2,1,8,0.325972712,1.414030367,15.14054054,0.3814060287,0.07216216216,23.99946182
FreshSky-Safe,2,1,9,0.8362721814,0.4910760745,6.142162162,0.1414829988,0.2010810811,1.40183682
FreshSky-Safe,2,1,10,0.2993435181,1.530799061,14.7572973,0.3831134946,0.06756756757,23.99317275
FreshSky-Safe,2,1,11,0.2334007936,1.939147999,21.74783784,0.3972632927,0.04891891892,23.9926919
FreshSky-Safe,2,2,0,0.2983974043,1.535332493,14.26243243,0.3838331232,0.06621621622,23.94785375
