seed,effect,metric,metric_label,unit,effect_value
0,Expected age,wAoI,W-AoI,relative_pct,-38.810608834895575
0,Expected age,p99_slot_aoi,p99 AoI,relative_pct,-23.62204724409449
0,Expected age,worst_user_mean_aoi,worst user,relative_pct,-32.77891679838777
0,Expected age,max_avg_power,max power,relative_pct,14.21234666366975
0,Expected age,rejection_rate,rejection,percentage_points,1.5180180180180174
0,Bayesian belief,wAoI,W-AoI,relative_pct,-3.263983504798199
0,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,-1.5748031496062993
0,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,-8.084949973935293
0,Bayesian belief,max_avg_power,max power,relative_pct,5.600239735233445
0,Bayesian belief,rejection_rate,rejection,percentage_points,-0.45945945945945754
0,Safety shield,wAoI,W-AoI,relative_pct,1.0501418196127372
0,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,8.661417322834646
0,Safety shield,worst_user_mean_aoi,worst user,relative_pct,7.1133584057624635
0,Safety shield,max_avg_power,max power,relative_pct,-0.04467224033730396
0,Safety shield,rejection_rate,rejection,percentage_points,3.3108108108108074
0,Belief × age,wAoI,W-AoI,relative_pct,4.195790675616352
0,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,3.1496062992125986
0,Belief × age,worst_user_mean_aoi,worst user,relative_pct,3.7446525428111164
0,Belief × age,max_avg_power,max power,relative_pct,-5.729438979300793
0,Belief × age,rejection_rate,rejection,percentage_points,-0.009009009009007356
0,Belief × shield,wAoI,W-AoI,relative_pct,-2.3470747856783856
0,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,-3.937007874015748
0,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,-3.793288024071764
0,Belief × shield,max_avg_power,max power,relative_pct,-0.5163671600084021
0,Belief × shield,rejection_rate,rejection,percentage_points,-0.45945945945945754
0,Age × shield,wAoI,W-AoI,relative_pct,-0.6753775222168943
0,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,-0.7874015748031497
