metric,label,qcap,mean,relative_risk,paired_vs_q4_significant
worst_user_mean_aoi,Worst-user mean,4.0,27.311972972972974,1.0,False
worst_user_mean_aoi,Worst-user mean,8.0,25.61282432432433,0.37400053769329766,True
worst_user_mean_aoi,Worst-user mean,12.0,26.00055405405405,0.5168477232671821,True
worst_user_mean_aoi,Worst-user mean,16.0,25.94081081081081,0.4948371486323667,True
worst_user_mean_aoi,Worst-user mean,24.0,25.66432432432432,0.3929741409353854,True
worst_user_mean_aoi,Worst-user mean,28.0,25.288297297297298,0.254438459010844,True
worst_user_mean_aoi,Worst-user mean,32.0,24.994054054054057,0.14603351621543742,True
worst_user_mean_aoi,Worst-user mean,36.0,24.80293243243243,0.07562058767885776,True
worst_user_mean_aoi,Worst-user mean,48.0,24.597675675675674,0.0,True
p95_user_mean_aoi,User-mean p95,4.0,24.576495945945943,1.0,False
p95_user_mean_aoi,User-mean p95,8.0,23.57962297297297,0.5314884241720227,True
p95_user_mean_aoi,User-mean p95,12.0,23.754361486486488,0.613612243899931,False
p95_user_mean_aoi,User-mean p95,16.0,23.462362162162155,0.4763780452718907,True
p95_user_mean_aoi,User-mean p95,24.0,23.04036351351351,0.27804660562414885,True
p95_user_mean_aoi,User-mean p95,28.0,23.06637162162162,0.2902699279976066,True
p95_user_mean_aoi,User-mean p95,32.0,22.74858986486486,0.1409184703254479,True
p95_user_mean_aoi,User-mean p95,36.0,22.636415540540536,0.08819864454875585,True
p95_user_mean_aoi,User-mean p95,48.0,22.44875135135135,0.0,True
p95_slot_aoi,Slot AoI p95,4.0,41.9,1.0,False
p95_slot_aoi,Slot AoI p95,8.0,41.15,0.7413793103448275,False
p95_slot_aoi,Slot AoI p95,12.0,41.45,0.8448275862068979,False
p95_slot_aoi,Slot AoI p95,16.0,40.8,0.6206896551724131,False
p95_slot_aoi,Slot AoI p95,24.0,39.65,0.22413793103448237,True
p95_slot_aoi,Slot AoI p95,28.0,39.55,0.1896551724137922,True
p95_slot_aoi,Slot AoI p95,32.0,39.3,0.10344827586206803,True
p95_slot_aoi,Slot AoI p95,36.0,39.0,0.0,True
p95_slot_aoi,Slot AoI p95,48.0,39.15,0.05172413793103402,True
