N,M,grid_size,retained_models,extra_delay,repeats,expected_age_median_us,decision_median_us,accounting_median_us,filter_update_median_us,total_median_us,total_p95_us,state_memory_kib,delay_history_kib,total_memory_kib,within_100ms_p95,total_p95_ms,expected_age_median_ms,decision_median_ms,accounting_median_ms,filter_update_median_ms
12,3,6,36,0,1000,6.0,20.5,5.8,61.6,94.85,192.425,7.6875,0.0,7.6875,True,0.192425,0.006,0.0205,0.0058,0.0616
12,3,6,36,4,1000,25.7,35.0,28.9,99.25,195.8,370.155,7.6875,0.421875,8.109375,True,0.37015499999999996,0.0257,0.035,0.0289,0.09925
12,3,6,36,8,1000,40.85,31.8,26.4,23.1,122.7,260.4099999999999,7.6875,0.84375,8.53125,True,0.2604099999999999,0.040850000000000004,0.0318,0.0264,0.023100000000000002
12,3,12,144,0,1000,6.0,21.2,5.7,28.3,61.45,121.515,29.625,0.0,29.625,True,0.121515,0.006,0.0212,0.0057,0.028300000000000002
12,3,12,144,4,1000,24.2,37.0,31.4,41.7,138.0,264.43499999999995,29.625,0.421875,30.046875,True,0.2644349999999999,0.0242,0.037,0.0314,0.0417
12,3,12,144,8,1000,43.0,39.75,33.1,73.5,196.15,361.44999999999993,29.625,0.84375,30.46875,True,0.36144999999999994,0.043,0.03975,0.033100000000000004,0.0735
12,3,20,400,0,1000,6.6,24.6,6.1,89.45,129.4,229.025,81.625,0.0,81.625,True,0.229025,0.0066,0.0246,0.0060999999999999995,0.08945
12,3,20,400,4,1000,25.1,47.7,41.3,48.1,167.7,323.13,81.625,0.421875,82.046875,True,0.32313,0.0251,0.047700000000000006,0.041299999999999996,0.048100000000000004
12,3,20,400,8,1000,42.4,47.8,41.3,63.1,200.6,408.245,81.625,0.84375,82.46875,True,0.408245,0.0424,0.047799999999999995,0.041299999999999996,0.0631
25,6,6,36,0,1000,6.4,22.5,6.0,130.4,168.4,300.05999999999995,15.40625,0.0,15.40625,True,0.30005999999999994,0.0064,0.0225,0.006,0.13040000000000002
25,6,6,36,4,1000,25.2,36.5,29.5,53.35,150.5,324.86,15.40625,0.87890625,16.28515625,True,0.32486000000000004,0.0252,0.0365,0.0295,0.05335
25,6,6,36,8,1000,73.5,67.8,54.5,149.65,343.0,441.6,15.40625,1.7578125,17.1640625,True,0.44160000000000005,0.0735,0.0678,0.0545,0.14965
25,6,12,144,0,1000,12.9,43.55,11.7,183.4,252.8,355.25999999999993,59.28125,0.0,59.28125,True,0.3552599999999999,0.0129,0.04355,0.011699999999999999,0.1834
25,6,12,144,4,1000,38.6,64.2,53.95,149.1,309.15,462.125,59.28125,0.87890625,60.16015625,True,0.462125,0.0386,0.06420000000000001,0.053950000000000005,0.14909999999999998
