policy,extra_delay,seed,wAoI,worst_user_mean_aoi,p95_user_mean_aoi,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,slot_aoi_gt40,slot_aoi_gt60,mean_service_rate,worst_service_rate,jain_service_fairness,starvation_p95,starvation_max,rejection_rate,rejected_candidates,proposed_candidates,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,uav_pi_los,uav_pth,uav_mean_aoi,uav_avg_power,uav_service_rate,uav_max_queue
FreshSky-Safe,2,0,380.78837837837835,19.496756756756756,19.039067567567567,34.0,56.0,47.44054054054054,0.03132882882882883,0.007364864864864865,0.13743243243243242,0.044864864864864865,0.8209785276998859,26.0,98.0,0.04792792792792793,532,11100,0.21816810218623647,0.3973833552224503,23.99858588743782,0.4064864864864865,True,True,0.95;0.2315765095;0.95;0.8081176242;0.6281327393;0.795200025;0.3394136806;0.9476946562;0.5005847781;0.95;0.23436609;0.2528380647,0.3369544871;1.95400716;0.2191119648;0.5235225351;0.7414402559;0.5383055036;1.361973486;0.3438720469;0.9427001774;0.2738400263;1.931388168;1.795260579,4.777027027;19.49675676;5.093243243;6.231621622;9.437027027;6.413783784;13.51567568;5.156216216;11.16324324;4.613243243;18.66459459;17.31783784,0.08442075934;0.3839360014;0.05631769689;0.1385212329;0.2122122246;0.1515984689;0.3831930809;0.08234341447;0.2685421587;0.06335326013;0.3961955729;0.3973833552,0.2086486486;0.04486486486;0.2010810811;0.1872972973;0.137027027;0.1840540541;0.07837837838;0.1964864865;0.1067567568;0.2024324324;0.04810810811;0.05405405405,0.3369544871;23.99025059;0.2191119648;1.511702816;11.94049075;3.166110072;23.99181084;0.3438720469;14.79560497;0.2738400263;23.99858589;23.98672606
FreshSky-Safe,2,1,507.47621621621624,26.190270270270272,24.77245945945946,46.0,79.0,66.00855855855856,0.06763513513513514,0.024279279279279278,0.11894144144144146,0.033243243243243244,0.6896021967207442,31.399999999999636,150.0,0.11801801801801802,1310,11100,0.27745167932489095,0.39726329271018396,23.999461816734904,0.4064864864864865,True,True,0.5605092249;0.2181252996;0.2316669551;0.3707979081;0.95;0.95;0.2020086086;0.95;0.325972712;0.8362721814;0.2993435181;0.2334007936,0.8400796556;2.072097608;1.953264399;1.254604531;0.2976063768;0.2276934429;2.237061952;0.2579608484;1.414030367;0.4910760745;1.530799061;1.939147999,9.885675676;23.61243243;19.24648649;14.66;4.271081081;3.938378378;26.19027027;4.247297297;15.14054054;6.142162162;14.7572973;21.74783784,0.2701877811;0.3920184665;0.3927645169;0.3675652193;0.07914720939;0.06393878033;0.3936019813;0.06693038229;0.3814060287;0.1414829988;0.3831134946;0.3972632927,0.1305405405;0.04108108108;0.04459459459;0.08675675676;0.2262162162;0.247027027;0.03324324324;0.2281081081;0.07216216216;0.2010810811;0.06756756757;0.04891891892,12.20278795;23.99102781;23.99722263;23.93542526;0.2976063768;0.2276934429;23.98665517;0.2579608484;23.99946182;1.40183682;23.99317275;23.9926919
FreshSky-Safe,2,2,408.8027027027027,25.194324324324324,22.484162162162157,36.0,61.0,51.847747747747746,0.03666666666666667,0.010315315315315316,0.1274774774774775,0.03567567567567568,0.828627819066562,27.0,128.0,0.0690990990990991,767,11100,0.23906854117043955,0.4000152256968511,23.999999667559926,0.4064864864864865,True,True,0.2983974043;0.4720337023;0.7619171253;0.95;0.6042558466;0.7527600943;0.6803453125;0.2438339011;0.7053294905;0.1925045361;0.95;0.2931742638,1.535332493;0.9986066978;0.5764720931;0.328976203;0.7746227687;0.5870535051;0.6736618433;1.858825842;0.6430324214;2.34929577;0.2710575607;1.560894842,14.26243243;8.907027027;6.538918919;4.937297297;8.852162162;7.022702703;7.397567568;20.26675676;7.385675676;25.19432432;4.764054054;14.80891892,0.3838331232;0.2661151903;0.1492595311;0.08224405074;0.2200347378;0.1616777086;0.1749700085;0.3918605829;0.1750090942;0.4000152257;0.06725157857;0.3965516625,0.06621621622;0.1227027027;0.1713513514;0.2016216216;0.1327027027;0.1675675676;0.1567567568;0.04324324324;0.1564864865;0.03567567568;0.2086486486;0.06675675676,23.94785375;13.52754828;3.047081397;0.328976203;7.117832605;3.179909587;4.14689871;23.97706725;3.10368085;23.99999967;0.2710575607;23.99901395
FreshSky-Safe,2,3,526.6583783783784,23.507297297297296,23.354635135135133,45.0,72.0,63.307207207207206,0.06468468468468469,0.019301801801801802,0.1029054054054054,0.04216216216216216,0.6995143620561052,36.0,175.0,0.10954954954954955,1216,11100,0.3155895030323825,0.3964691081384688,23.9976783836974,0.4064864864864865,True,True,0.2469621281;0.8215561338;0.8932287906;0.3220866759;0.225348274;0.2465631425;0.4834834838;0.2778755806;0.2645088005;0.3014458345;0.9387067142;0.2969367479,1.836175919;0.5080937316;0.4222105672;1.429873819;2.006740312;1.839030251;0.9755450403;1.641436133;1.719737046;1.520828652;0.3585144156;1.542388958,17.41648649;5.826486486;4.923783784;12.18972973;23.5072973;23.22972973;9.666216216;16.35702703;18.52972973;16.44486486;4.695135135;17.13891892,0.3930408993;0.1452873427;0.1149097409;0.3934085264;0.3959244399;0.3906696695;0.3037372666;0.3899519893;0.3964691081;0.3888388932;0.09340753964;0.3814286208,0.05432432432;0.2016216216;0.2232432432;0.0827027027;0.04216216216;0.04594594595;0.1294594595;0.05891891892;0.05243243243;0.06486486486;0.2148648649;0.06432432432,23.99541437;2.561874631;0.5110528362;23.99608902;23.99767838;23.97671736;21.72398177;23.99552575;23.99608666;23.98667143;0.3585144156;23.97378167
FreshSky-Safe,2,4,465.5556756756757,20.697837837837838,20.08704054054054,37.0,58.0,50.31576576576577,0.038513513513513516,0.008265765765765766,0.09792792792792793,0.044054054054054055,0.8734941607201933,34.0,119.0,0.03882882882882883,431,11100,0.2822594673486006,0.38991311247957966,23.99793309742025,0.4064864864864865,True,True,0.662118963;0.6741961796;0.3640876;0.2460798207;0.2372011855;0.4128728207;0.5024050881;0.4159209977;0.2309431598;0.4380235493;0.7287104513;0.5641011845,0.6966749552;0.6813572012;1.27608378;1.842501298;1.908996959;1.13470463;0.9393093506;1.126874486;1.959226317;1.072981387;0.6151471375;0.8344446437,8.363513514;7.880540541;12.47189189;17.02864865;20.69783784;12.12405405;10.54459459;11.74891892;19.5872973;13.42108108;7.63;9.12,0.1830183936;0.1775211735;0.3124680824;0.3899131125;0.386958843;0.3256908966;0.2619911486;0.289637199;0.3891976603;0.285645045;0.1597719998;0.2253000538,0.1418918919;0.1508108108;0.08324324324;0.05135135135;0.04648648649;0.09162162162;0.1089189189;0.09054054054;0.04405405405;0.08837837838;0.1518918919;0.1259459459,7.713548835;3.494929213;22.60418902;23.99257917;23.9979331;19.9434593;12.40411506;19.83622637;23.99497405;16.08136717;2.796912787;8.392226805
FreshSky-Safe,2,5,432.7681081081081,22.644594594594594,20.727175675675674,37.0,62.0,53.718468468468465,0.039527027027027026,0.010698198198198198,0.11972972972972973,0.04351351351351351,0.8029143724109714,30.0,161.0,0.0409009009009009,454,11100,0.2527174154295824,0.3906129259130037,23.996665718576434,0.4064864864864865,True,True,0.9411489522;0.4821824971;0.3825098869;0.7544254172;0.3523107703;0.8677360717;0.95;0.2189202535;0.8265150398;0.3376263363;0.2625732011;0.2699141276,0.3546353857;0.9781203331;1.218803669;0.5851252029;1.315645181;0.4538598372;0.2241414152;2.064668323;0.5023771293;1.368663091;1.731770293;1.687095206,5.067297297;10.41864865;12.29945946;7.351351351;13.19486486;6.287297297;4.746756757;22.64459459;6.339189189;13.5827027;19.01918919;19.15837838,0.08453740815;0.2783677597;0.3383003698;0.15434654;0.3498905021;0.1115023222;0.0554295662;0.3906129259;0.1353702697;0.373977942;0.3777131423;0.3825602372,0.2018918919;0.1121621622;0.08675675676;0.1667567568;0.08594594595;0.1754054054;0.2056756757;0.04351351351;0.1789189189;0.07702702703;0.05;0.0527027027,0.3546353857;12.76548966;21.82907886;2.776878043;23.8067747;0.7770188607;0.2241414152;23.99666572;1.935656939;23.89668264;23.9770293;23.98047262
FreshSky-Safe,2,6,311.4289189189189,15.107837837837838,14.761189189189189,28.0,45.0,38.83918918918919,0.016554054054054055,0.0019594594594594594,0.14373873873873874,0.06351351351351352,0.8945499164616645,22.0,85.0,0.003063063063063063,34,11100,0.17744868267153954,0.3672072038048208,23.96082791400128,0.4064864864864865,True,True,0.6600953202;0.4082536129;0.95;0.8542797728;0.5796663152;0.95;0.7238759829;0.298421524;0.95;0.3698913443;0.95;0.5870736138,0.6992694381;1.146768836;0.2551559305;0.4699577518;0.8105930222;0.2156180293;0.6208604762;1.535216558;0.2628816135;1.257463669;0.2571157349;0.7995478023,8.360540541;13.48945946;4.59027027;6.190810811;9.624054054;4.711351351;8.447837838;15.10783784;4.363243243;14.47756757;4.774054054;9.375135135,0.1937165335;0.3139667111;0.05889274721;0.1167273443;0.2083443146;0.05052454903;0.1422945092;0.3672072038;0.06024962385;0.3361166401;0.06136032267;0.2199836926,0.1354054054;0.08243243243;0.1991891892;0.1762162162;0.1237837838;0.2;0.1340540541;0.06351351351;0.2002702703;0.07405405405;0.1991891892;0.1367567568,6.382466515;16.96275858;0.2551559305;1.659239532;7.801267423;0.2156180293;2.871186191;23.96082791;0.2628816135;23.8388374;0.2571157349;8.388242861
FreshSky-Safe,2,7,362.1772972972973,27.708378378378377,22.28894594594594,36.0,66.0,53.9954954954955,0.038085585585585585,0.01286036036036036,0.14997747747747747,0.03135135135135135,0.8293299926931444,22.0,130.0,0.05036036036036036,559,11100,0.19531098016215678,0.3958168427336397,23.998445593946624,0.4064864864864865,True,True,0.95;0.8194645516;0.5139536145;0.1957148488;0.2668165055;0.95;0.9166527097;0.2817874583;0.4060368001;0.95;0.95;0.8957240492,0.2129344738;0.5105004868;0.9182376412;2.309972111;1.705631049;0.2143947682;0.3910280632;1.619983796;1.152645744;0.2643493157;0.2202876177;0.4190042049,4.629189189;5.512702703;10.55675676;27.70837838;17.85486486;4.765675676;5.218648649;17.47108108;10.76459459;4.762972973;4.726216216;5.242972973,0.0524854703;0.1288668796;0.2811792561;0.3958168427;0.3858414022;0.05354074752;0.1009275136;0.383979943;0.3295943776;0.06623022044;0.05644125989;0.1088278489,0.207027027;0.1854054054;0.1197297297;0.03135135135;0.05675675676;0.2110810811;0.2016216216;0.06;0.1008108108;0.2062162162;0.2172972973;0.2024324324,0.2129344738;1.836506329;9.728277542;23.99665327;23.99844559;0.2143947682;0.3910280632;23.99837962;17.04789253;0.2643493157;0.2202876177;0.5330294346
FreshSky-Safe,2,8,401.19756756756755,21.376216216216218,21.1472972972973,36.0,62.0,53.03063063063063,0.037882882882882885,0.010990990990990991,0.13551801801801802,0.038378378378378375,0.7976031603902735,25.599999999999454,136.0,0.055135135135135134,612,11100,0.23031222846016552,0.39471837901046125,23.99718299980695,0.4064864864864865,True,True,0.924502767;0.7675714746;0.2938168902;0.223720696;0.8564804989;0.95;0.4732619221;0.198994158;0.3554966144;0.365156396;0.95;0.8950142286,0.3798996382;0.5699618165;1.557699888;2.021057334;0.4673466129;0.2347890628;0.9960890923;2.271318822;1.304697623;1.272612991;0.2590903055;0.4199186836,4.713243243;6.919459459;15.32513514;21.37621622;5.856756757;4.644594595;10.45027027;20.96;13.43243243;15.09513514;4.58027027;5.051621622,0.09600166532;0.1612837897;0.3784789729;0.3932868326;0.1169629631;0.05945874375;0.2856352776;0.394718379;0.3579102938;0.3418857602;0.06463252755;0.1134915361,0.2035135135;0.1735135135;0.0627027027;0.04216216216;0.1872972973;0.2143243243;0.1159459459;0.03837837838;0.08378378378;0.08162162162;0.212972973;0.21,0.3798996382;3.229274514;23.99708626;23.98019356;0.9387729028;0.2347890628;18.47876186;23.997183;23.9059391;21.34145467;0.2590903055;0.5991868362
FreshSky-Safe,2,9,526.99,26.938108108108107,26.10731081081081,45.0,83.0,67.47297297297297,0.06403153153153153,0.02394144144144144,0.1191216216216216,0.035405405405405405,0.7279041123565542,32.0,173.0,0.11459459459459459,1272,11100,0.2589267296036356,0.39600466354667485,23.998431463728714,0.4064864864864865,True,True,0.3257577326;0.6871221964;0.2523803769;0.1963495047;0.5437054116;0.2493362779;0.95;0.4363495231;0.95;0.6652629851;0.95;0.2127973752,1.414897118;0.6652565043;1.798374164;2.302374716;0.8671448273;1.819394726;0.209506079;1.076896197;0.2790122724;0.6926602831;0.247425482;2.123503268,17.10918919;7.646486486;20.89405405;26.93810811;10.01324324;21.26648649;4.146756757;10.45324324;4.681081081;7.706756757;4.381621622;25.42756757,0.3697852737;0.1814172467;0.3883516101;0.3938927555;0.2575654501;0.3953495567;0.05333911524;0.3242330711;0.07239237337;0.2107933726;0.06399626655;0.3960046635,0.06081081081;0.1548648649;0.04621621622;0.03648648649;0.1186486486;0.04081081081;0.2275675676;0.1091891892;0.2145945946;0.1610810811;0.2237837838;0.03540540541,23.99176942;7.557695128;23.99679272;23.99736337;10.14576551;23.99284056;0.209506079;22.82929082;0.2790122724;4.682564529;0.247425482;23.99843146
