policy,extra_delay,wAoI,wAoI_std,worst_user_mean_aoi,worst_user_mean_aoi_std,p95_user_mean_aoi,p95_user_mean_aoi_std,p95_slot_aoi,p95_slot_aoi_std,p99_slot_aoi,p99_slot_aoi_std,cvar95_slot_aoi,cvar95_slot_aoi_std,slot_aoi_gt40,slot_aoi_gt40_std,slot_aoi_gt60,slot_aoi_gt60_std,mean_service_rate,mean_service_rate_std,worst_service_rate,worst_service_rate_std,jain_service_fairness,jain_service_fairness_std,starvation_p95,starvation_p95_std,starvation_max,starvation_max_std,rejection_rate,rejection_rate_std,mean_power,mean_power_std,max_avg_power,max_avg_power_std,max_queue,max_queue_std,bound_all_seeds,certificate_all_seeds,seeds
Conservative-AoI Safe,2,518.471527027027,66.60279659755409,27.055121621621623,5.06928862152574,24.810162837837833,3.092023886941551,44.5,5.021008495888996,72.7,10.01630250089691,62.054459459459466,7.566941694833797,0.06393018018018018,0.017683609190510523,0.019916666666666666,0.008184731265327505,0.12895157657657658,0.01994664137011276,0.03647297297297297,0.007401383484882578,0.7576357641414604,0.060885744576949896,32.6,4.345596682426452,145.2,42.54483702982933,0.03242792792792793,0.022919898433878934,0.2373246976228805,0.042564747014916075,0.3779566067128137,0.014419199112212075,23.965722516478294,0.12430353427256319,True,True,20
Conservative-AoI Safe,4,608.4040945945947,73.45175118480623,31.57933783783784,3.5266431923547352,29.074734459459457,2.982087940916028,50.65,5.353552681704877,81.3,9.34203854683368,69.86168918918919,7.649537996397979,0.08994932432432431,0.02045813694470911,0.029469594594594594,0.009869146719638885,0.1336385135135135,0.020536980762375187,0.03482432432432432,0.006469438835409452,0.7512491270502304,0.060856899697301896,35.75,4.788967584596474,166.75,36.35334633116578,0.0245990990990991,0.019362905953481745,0.23333353458526282,0.04336783336726587,0.3627863544383757,0.024017994555885075,23.988441892835972,0.013765131611480127,True,True,20
Conservative-AoI Safe,8,766.7255675675676,81.03918838094323,38.71289189189189,4.648185077368914,35.69965,3.6140674102773187,61.2,5.5117100221638164,94.75,10.769718757017898,82.13925675675675,8.10242603347063,0.14198986486486487,0.023952053874952778,0.051780405405405405,0.012791299430246698,0.138856981981982,0.020569318061422,0.033094594594594594,0.0060589767377065935,0.7288713164281304,0.0670163905336739,40.26749999999997,5.9117695943636175,179.25,28.134779001685516,0.016346846846846848,0.013947556858036779,0.22611012511761905,0.04355892861506512,0.33697724232264914,0.028106940441711428,23.921542846603487,0.2869797147085149,True,True,20
FreshSky-Safe,2,437.46222972972976,70.58710145731068,24.652486486486488,3.766121204807294,22.273394594594592,3.0323976574443186,38.55,5.195899192733884,66.4,10.323198198844754,55.86601351351351,7.985535565137847,0.04501801801801802,0.015080620936504347,0.014115990990990989,0.006663285328303728,0.12294594594594595,0.019061084704914813,0.03854054054054054,0.00773310115575013,0.8089396271687217,0.05466354815432061,28.849999999999955,4.9570258485464835,137.05,24.888118069726193,0.06048648648648649,0.03300546660744755,0.2468682471657523,0.04148033169542777,0.39324052661213127,0.0073008418847759346,23.994627373890637,0.008759037897840166,True,True,20
FreshSky-Safe,4,447.693527027027,73.02669164350341,26.222256756756757,4.637546054871784,23.210612837837836,3.277541290379032,39.9,5.590405314370987,69.3,10.86326499335211,58.030180180180174,8.87467484284502,0.04878716216216216,0.016289515918489744,0.01598310810810811,0.007541494302607366,0.12808558558558558,0.018939237548037086,0.03968918918918919,0.00873678200536739,0.8177892427676747,0.05315424452226385,28.892499999999973,4.883869125148506,143.9,38.077345108690494,0.05847297297297297,0.03522738342856543,0.2473833802275462,0.0416413832915855,0.3956478579727132,0.00661989758795266,23.99726412276464,0.0019403379322852352,True,True,20
FreshSky-Safe,8,453.86258108108103,72.09087715740687,26.006810810810812,4.020476733859565,23.68982432432432,3.6077272405013345,40.9,5.580982746887202,69.45,10.38964565527166,58.62150900900902,7.834566942116235,0.052431306306306304,0.01671078265979078,0.01661036036036036,0.007271889616908842,0.13049436936936937,0.018825697017498522,0.03937837837837838,0.008658023013395182,0.8216062510845141,0.052207730524498126,29.44749999999999,5.217366622510274,143.2,26.144537519437275,0.05463513513513514,0.03306065956124537,0.24790003642093258,0.0417504764601468,0.39730970377064795,0.006617642159695686,23.989721961897043,0.03286762580645195,True,True,20
Ji'24-style Greedy-Safe,2,446.98358108108107,70.31772973262497,25.659783783783787,4.354384120755233,22.90339932432432,3.2730460456181594,39.7,5.302432411043465,67.85,9.804805481309447,57.12094594594595,7.56318441937976,0.048582207207207205,0.015351727269952264,0.015493243243243244,0.006356447770155336,0.12173873873873875,0.0189776285424045,0.038918918918918924,0.008672176390226445,0.8197604315538525,0.05385394630407301,29.05,5.276312508202155,138.55,29.5536532606822,0.16828378378378378,0.07937150587884836,0.24932557850753953,0.04166396123629525,0.3989459585289414,0.004075583466290405,23.998965697720614,0.0013334882489192807,True,True,20
Ji'24-style Greedy-Safe,4,452.7599594594594,71.8847175134024,25.718945945945944,3.8023839951732183,23.202391216216213,2.9792740063167797,40.65,5.314082581613737,69.45,9.621658681821637,58.67225225225225,7.903305188970507,0.051341216216216214,0.016108089205076195,0.016786036036036036,0.00701520529655858,0.12692454954954954,0.01873926656730762,0.03998648648648649,0.008782952143582733,0.8265362223315558,0.05059984452878469,28.739999999999963,5.088030329270725,148.05,30.53121784596702,0.18254054054054053,0.08803771061626457,0.24957538919705816,0.041891652684194286,0.40007357791056525,0.0028336927668162863,23.99925455839326,0.0007952896383567245,True,True,20
Ji'24-style Greedy-Safe,8,460.20286486486486,75.10263778366073,26.28733783783784,3.995061024933343,23.715203378378373,3.273818808635871,41.6,5.688400015544098,70.25,9.475036453200255,59.50292792792793,7.743449342855164,0.05469707207207207,0.017324260207724467,0.01761036036036036,0.0073952938671386585,0.12962162162162164,0.01881717629771826,0.04048648648648649,0.008876618513482544,0.8288724498145239,0.050884558579938524,29.167499999999972,5.428779910420881,144.8,31.93513161987825,0.2246891891891892,0.10214255201265103,0.24968694818922788,0.04189891615522631,0.40067934413405454,0.0031289271672276476,23.99937497219678,0.0007469017288608836,True,True,20
Known-Transition Safe,2,433.70760810810805,68.73738280578371,23.906162162162165,3.976293101451328,21.873310135135135,3.2036551081128004,37.55,5.155222186237338,62.85,10.006708276267265,53.354594594594595,8.168363089006686,0.04186936936936937,0.014659640930563001,0.012057432432432433,0.006517964175261431,0.12202815315315316,0.01875371757415089,0.0382027027027027,0.007426170904419155,0.807520629076371,0.054638929384437485,28.89749999999999,4.745592830805177,128.05,26.737466320935457,0.06754054054054054,0.03476967781297139,0.2458905731118192,0.041050067953474365,0.3876360760909856,0.008693401638612883,23.994924919994183,0.01003430859153869,True,True,20
