policy,extra_delay,seed,wAoI,worst_user_mean_aoi,p95_user_mean_aoi,p95_slot_aoi,mean_service_rate,worst_service_rate,jain_service_fairness,starvation_p95,starvation_max,rejection_rate,rejected_candidates,proposed_candidates,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
FreshSky-Safe,4,0,484.11432432432434,28.056486486486488,26.31477027027027,43.0,0.1317792792792793,0.0327027027027027,0.7249418995322912,29.0,154.0,0.08018018018018018,890,11100,0.2619390553834136,0.40097767083022173,23.9999869005956,0.4064864864864865,True,True
FreshSky-Safe,4,1,487.1575675675676,29.721891891891893,28.21385135135135,47.0,0.13337837837837838,0.0327027027027027,0.7417741316504429,29.0,150.0,0.0781081081081081,867,11100,0.25710407449102096,0.40250153803845606,23.997178848816354,0.4064864864864865,True,True
FreshSky-Safe,4,2,392.1654054054054,27.632162162162164,22.166202702702698,37.0,0.1440990990990991,0.03918918918918919,0.8280396283466963,25.0,189.0,0.041891891891891894,465,11100,0.21456762183937994,0.39347990543967415,23.994534071506855,0.4064864864864865,True,True
FreshSky-Safe,4,3,441.5362162162162,31.456756756756757,26.558337837837833,41.0,0.14398648648648646,0.027567567567567567,0.8023825375521502,25.0,154.0,0.05990990990990991,665,11100,0.22391230518430152,0.398638897608403,23.99077128899404,0.4064864864864865,True,True
FreshSky-Safe,4,4,355.9581081081081,20.559729729729728,19.84116216216216,33.0,0.13914414414414414,0.04972972972972973,0.8972627523419578,26.0,104.0,0.0090990990990991,101,11100,0.20530112493491948,0.3908425697648044,23.9963708700767,0.4064864864864865,True,True
Geometry-Prior Bayes-Safe,4,0,525.1962162162163,31.214324324324323,30.990013513513514,47.0,0.13114864864864864,0.030810810810810812,0.7204593905542565,30.0,210.0,0.09837837837837837,1092,11100,0.2621495706616249,0.3989623667800107,23.99570284006287,0.4064864864864865,True,True
Geometry-Prior Bayes-Safe,4,1,474.39702702702704,27.162702702702703,24.894175675675672,45.0,0.13376126126126123,0.03486486486486486,0.7438242612289627,29.0,168.0,0.0818018018018018,908,11100,0.2568368691210026,0.4002210760665668,23.99859268748203,0.4064864864864865,True,True
Geometry-Prior Bayes-Safe,4,2,374.8545945945946,24.537837837837838,21.547324324324318,36.0,0.14513513513513515,0.03513513513513514,0.8258490276949778,25.0,111.0,0.0336036036036036,373,11100,0.21467944274510461,0.39965698401800503,23.994468613622004,0.4064864864864865,True,True
Geometry-Prior Bayes-Safe,4,3,428.62918918918916,33.18810810810811,26.320094594594586,40.0,0.14439189189189186,0.025405405405405406,0.8075735140685584,25.0,173.0,0.04981981981981982,553,11100,0.22384444323124542,0.3966556801059469,23.999484871338975,0.4064864864864865,True,True
Geometry-Prior Bayes-Safe,4,4,366.9286486486487,21.418378378378378,21.251594594594593,35.0,0.139009009009009,0.044864864864864865,0.8943390308333636,26.0,162.0,0.00963963963963964,107,11100,0.20489462914532838,0.3932883931050096,23.996370870076714,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.25),4,0,500.5308108108108,30.501081081081082,28.325756756756753,44.0,0.13126126126126123,0.030810810810810812,0.7163932249285453,29.0,209.0,0.10837837837837838,1203,11100,0.2610588849300723,0.39623237295057395,23.99722046961106,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.25),4,1,497.8810810810811,28.032432432432433,27.948743243243243,47.0,0.13184684684684686,0.03405405405405405,0.7370384460003071,29.0,164.0,0.10027027027027027,1113,11100,0.2571655036081056,0.39908084508062214,23.9985926874818,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.25),4,2,373.5908108108108,23.4372972972973,20.296648648648645,34.0,0.14236486486486485,0.0372972972972973,0.8285990110824563,26.0,127.0,0.02954954954954955,328,11100,0.21555133847299948,0.39347990543967415,23.99446861362221,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.25),4,3,420.807027027027,28.68864864864865,24.47044594594594,38.0,0.14306306306306307,0.028648648648648647,0.807266261968169,25.0,145.0,0.0654054054054054,726,11100,0.22415057916578748,0.39926372346672334,23.99896974267769,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.25),4,4,350.43891891891894,20.135675675675675,19.507189189189187,32.0,0.1391666666666667,0.05,0.8964367546000211,26.0,104.0,0.013873873873873874,154,11100,0.20478971616482608,0.3883967464245992,23.997207317020422,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.50),4,0,490.9705405405405,26.500810810810812,26.341756756756755,42.0,0.1310810810810811,0.031621621621621625,0.717693495271822,30.0,209.0,0.09522522522522522,1057,11100,0.26194484392126033,0.4034388028729139,23.999481339770146,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.50),4,1,480.62918918918916,26.173513513513512,25.584418918918917,46.0,0.1320945945945946,0.03351351351351351,0.742585847569482,29.199999999999818,121.0,0.09414414414414414,1045,11100,0.25729336290355703,0.39908084508062214,23.999296343741218,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.50),4,2,373.57405405405405,23.895945945945947,20.715459459459456,35.0,0.1425,0.036756756756756756,0.8290970007309469,26.0,134.0,0.03126126126126126,347,11100,0.21548660203184886,0.3953330290131734,23.99590055363013,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.50),4,3,461.3524324324324,34.972972972972975,28.457405405405396,43.0,0.14236486486486485,0.026756756756756758,0.8027923159623359,24.0,167.0,0.08477477477477477,941,11100,0.2244492165289964,0.4005133751833641,23.992783789270277,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.50),4,4,345.16297297297297,19.05945945945946,18.901445945945945,32.0,0.13846846846846847,0.05081081081081081,0.897731416166712,26.0,115.0,0.01,111,11100,0.2049660626885962,0.3883967464245992,23.996370870076678,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.75),4,0,509.8324324324324,28.007297297297296,27.81524324324324,45.0,0.13103603603603606,0.03054054054054054,0.7179556945604659,29.0,209.0,0.10351351351351351,1149,11100,0.2620903747960261,0.40176013933807514,23.99998690059555,0.4064864864864865,True,True
Regularized Bayes-Safe (alpha=.75),4,1,486.5518918918919,25.36081081081081,25.338662162162162,46.0,0.13254504504504505,0.03351351351351351,0.7427237860931649,29.0,135.0,0.08585585585585585,953,11100,0.2574771137162816,0.40079119155953913,23.999296343741022,0.4064864864864865,True,True
