policy,extra_delay,wAoI,wAoI_std,worst_user_mean_aoi,worst_user_mean_aoi_std,p95_user_mean_aoi,p95_user_mean_aoi_std,p95_slot_aoi,p95_slot_aoi_std,mean_service_rate,mean_service_rate_std,worst_service_rate,worst_service_rate_std,jain_service_fairness,jain_service_fairness_std,starvation_p95,starvation_p95_std,starvation_max,starvation_max_std,rejection_rate,rejection_rate_std,mean_power,mean_power_std,max_avg_power,max_avg_power_std,max_queue,max_queue_std,bound_all_seeds,certificate_all_seeds,seeds
Conservative-AoI Safe,4,593.7957297297297,64.19975699847508,32.17437837837838,5.679325632685144,30.363094594594592,3.837820184140494,52.6,4.560701700396553,0.14540540540540542,0.005609758612363462,0.03302702702702703,0.008845727530519626,0.7453912270826668,0.07367772043134183,33.4,1.6733200530681511,198.6,79.67935742712788,0.016954954954954957,0.011520159088170967,0.21674419563809044,0.022458596016639683,0.367774813649478,0.011563779990572376,23.989021370208768,0.010490985514992194,True,True,5
FreshSky-Safe,4,432.18632432432435,57.485194060555244,27.48540540540541,4.155904175735562,24.61886486486486,3.478633826378938,40.2,5.403702434442519,0.13847747747747746,0.005771978107357328,0.03637837837837838,0.008526587987155398,0.7988801898847078,0.06940756542616654,26.8,2.0493901531919203,150.2,30.285309970347004,0.05383783783783783,0.029428283363110687,0.23256483636660713,0.025529859665713715,0.3972881163363119,0.004966506042775257,23.99576839599791,0.003414775562418758,True,True,5
Geometry-Prior Bayes-Safe,4,434.00113513513514,67.03405925305107,27.504270270270275,4.796482657897257,25.000640540540537,3.9876566041845027,40.6,5.319774431308154,0.13868918918918918,0.006231323039231053,0.03421621621621622,0.007139433594662335,0.7984090448760238,0.06909260013405975,27.0,2.345207879911715,164.8,35.43585754571208,0.05464864864864864,0.03585249429667675,0.23248099098086117,0.025621894232245746,0.39775690001510783,0.002842352557559615,23.99692397651652,0.0020717556862507986,True,True,5
Ji'24-style Greedy-Safe,4,446.9336216216217,70.92532523918999,28.384864864864863,4.181754317816862,25.11019459459459,4.0996601173014655,41.8,6.220932405998315,0.1365855855855856,0.006260159343052353,0.03513513513513514,0.008755672271851382,0.8088878622504968,0.06759626879597223,26.8,2.588435821108957,161.0,45.71651780264984,0.21398198198198198,0.1072470097965416,0.23602405319535577,0.026273250117329405,0.4008859015863754,0.0026835536523099617,23.99952886126254,0.0004741110407667577,True,True,5
Known-Transition Safe,4,431.00010810810807,73.9505335193825,26.11378378378378,4.4144304214639005,24.27021351351351,4.459078873229402,39.6,6.8044103344816005,0.13827027027027028,0.005640136120678664,0.035243243243243245,0.007253623058852197,0.799546519325297,0.07309334940983127,27.0,1.8708286933869707,136.4,29.921564130238917,0.06684684684684686,0.04679501637291224,0.23172614436586772,0.025201682491853884,0.3903703481301203,0.010071020024146634,23.99776232265448,0.0011862264601560947,True,True,5
Max-Age-First Safe,4,436.43102702702697,59.23509014147493,25.465243243243243,4.035484767894251,22.601705405405404,3.169354738390945,37.6,5.89915248150105,0.12980630630630632,0.005063526917612478,0.037351351351351356,0.008693717033063942,0.8435271783786196,0.07151062455853806,26.0,1.4142135623730947,159.8,50.5489861421572,0.5305765765765765,0.18370739668501643,0.2435370362041987,0.023886129286120578,0.4008094241300014,0.0009383804378763545,23.999721942676796,0.0001868959007392354,True,True,5
Static-Geometry Safe,4,420.41972972972974,65.45262480974334,24.759135135135136,3.457397503111488,22.823135135135132,3.314611552983166,37.8,5.93295878967653,0.1376306306306306,0.0059189343452840945,0.03724324324324325,0.0084443782328811,0.7977157626519471,0.07141669314443655,27.2,2.1679483388678795,119.6,22.55659548779469,0.06264864864864865,0.04374417071325401,0.23246528292309523,0.025357468407277605,0.39395877883438296,0.007326852525699754,23.998481204301136,0.0015705601676854115,True,True,5
Regularized Bayes-Safe (alpha=.25),4,428.64972972972976,69.22751131812898,26.159027027027026,4.255897114399792,24.109756756756752,4.134186485657381,39.0,6.4031242374328485,0.13754054054054055,0.005662688021622328,0.03616216216216216,0.008401015626103582,0.7971467397158998,0.07260215954833944,27.0,1.8708286933869707,149.8,39.83340306827926,0.0634954954954955,0.041788567724924584,0.2325432044683582,0.025242907071144065,0.39529071867243853,0.004523340468693616,23.997291766082636,0.0017670884659609582,True,True,5
Regularized Bayes-Safe (alpha=.50),4,430.3378378378378,66.41598920788314,26.120540540540542,5.773228272141144,24.000097297297295,4.020140884465771,39.6,5.856620185738529,0.1373018018018018,0.005473329799660578,0.03589189189189189,0.009092094351314594,0.7979800151402598,0.07151259698758977,27.039999999999964,2.49158584038355,149.2,39.01538158214014,0.06308108108108108,0.039682736604842596,0.23282801761485175,0.02546350441624533,0.39735255971493455,0.005794505510728825,23.99676657929769,0.002763097682379624,True,True,5
Regularized Bayes-Safe (alpha=.75),4,431.65410810810806,66.73942385453559,25.45254054054054,3.5490592154581386,23.81398648648648,3.2423358202553865,39.8,5.403702434442518,0.13783783783783785,0.0058319635596532195,0.036,0.0066241032305115344,0.7981327092214596,0.07091478670749911,26.8,2.04939015319192,155.2,31.11591232793922,0.06117117117117117,0.03727090287720924,0.23281912407140312,0.025552706705017098,0.39693900873116406,0.006013709631807655,23.998275152836698,0.001470349486680652,True,True,5
Round-Robin Safe,4,452.1643243243243,79.75131303557625,24.92681081081081,4.595833292483633,22.69553513513513,4.30733250620288,38.0,7.3824115301167,0.13237387387387387,0.010889617513043843,0.03783783783783784,0.009482597185323693,0.8043427208489092,0.06217871480399884,24.0,3.9999999999999996,156.0,46.73328578219169,0.04861261261261261,0.024027096275027977,0.22486778983834316,0.02240612780109048,0.4015068560176454,0.0011885900530971185,23.99903530131406,0.0008600130936765362,True,True,5
Zhu'26-style Aggregate-DPP,4,390.1663783783784,41.225813063764335,19.908216216216214,2.05083130537281,18.859708108108105,1.3391416559800013,35.4,2.7928480087537886,0.13054504504504505,0.0084671865044627,0.05091891891891892,0.0067934140753470535,0.8491335486075154,0.04361653128916997,28.4,2.4083189157584584,115.2,26.55560204551951,0.0,0.0,0.25828892318409835,0.03667103617170698,0.5839747021912507,0.06394416218299019,750.3557992993169,260.9143523386838,False,False,5
