sweep,value,wAoI,wAoI_std,max_avg_power,max_queue,certificate_all_seeds
V,2.0,420.038,53.3595989608589,0.38162100073058547,23.997267035753424,True
V,4.0,432.87902702702706,62.13561223339401,0.39188767721268736,23.99637087007675,True
V,6.0,437.62983783783784,62.69656127006731,0.3965763216543647,23.99783224446067,True
V,8.0,442.1063243243243,73.49084917981418,0.40024058688677344,23.999629921776656,True
V,12.0,435.8127567567568,70.46216126088115,0.3988919281935,23.999481339770846,True
forget,0.0,427.3466486486486,61.92971499325152,0.3928176945249712,23.999484871338925,True
forget,0.0005,428.8267567567567,63.50600353616289,0.39415888404875543,23.999484871338854,True
forget,0.002,437.62983783783784,62.69656127006731,0.3965763216543647,23.99783224446067,True
forget,0.01,441.2347567567567,65.69796884304924,0.3986268335347973,23.998592687482066,True
forget,0.02,455.24983783783784,74.12363827077509,0.39880124699096237,23.9996299217763,True
