N,M,grid_size,retained_models,extra_delay,repeats,expected_age_median_us,decision_median_us,accounting_median_us,filter_update_median_us,total_median_us,total_p95_us,state_memory_kib,delay_history_kib,total_memory_kib,within_100ms_p95
12,3,6,36,0,1000,5.8,19.7,5.7,59.9,91.1,171.81,7.6875,0.0,7.6875,True
12,3,6,36,4,1000,23.0,30.7,25.6,91.6,171.7,298.205,7.6875,0.421875,8.109375,True
12,3,6,36,8,1000,39.6,30.6,25.6,22.3,118.2,230.62999999999997,7.6875,0.84375,8.53125,True
12,3,12,144,0,1000,5.8,20.6,5.7,28.0,60.3,119.22499999999998,29.625,0.0,29.625,True
12,3,12,144,4,1000,23.1,34.8,29.7,40.0,127.8,233.015,29.625,0.421875,30.046875,True
12,3,12,144,8,1000,40.4,35.6,30.2,69.2,176.3,318.3049999999999,29.625,0.84375,30.46875,True
12,3,20,400,0,1000,6.3,23.6,5.9,87.45,124.15,229.33499999999998,81.625,0.0,81.625,True
12,3,20,400,4,1000,23.7,44.7,39.4,45.5,153.6,323.37499999999994,81.625,0.421875,82.046875,True
12,3,20,400,8,1000,40.8,45.5,40.0,61.0,189.7,368.52,81.625,0.84375,82.46875,True
25,6,6,36,0,1000,6.05,21.45,5.9,127.25,161.6,276.92999999999995,15.40625,0.0,15.40625,True
25,6,6,36,4,1000,23.6,34.0,27.9,50.8,138.64999999999998,271.7849999999999,15.40625,0.87890625,16.28515625,True
25,6,6,36,8,1000,40.6,34.3,28.0,84.7,189.7,396.96999999999986,15.40625,1.7578125,17.1640625,True
25,6,12,144,0,1000,14.0,44.25,12.25,183.45,254.0,361.3,59.28125,0.0,59.28125,True
25,6,12,144,4,1000,41.8,70.9,59.55,156.7,333.1,491.7949999999999,59.28125,0.87890625,60.16015625,True
25,6,12,144,8,1000,74.5,83.5,65.85,170.1,391.54999999999995,542.93,59.28125,1.7578125,61.0390625,True
25,6,20,400,0,1000,12.8,44.8,10.8,186.45,258.05,434.34999999999997,163.28125,0.0,163.28125,True
25,6,20,400,4,1000,45.85,99.05,84.9,155.65,389.0,563.175,163.28125,0.87890625,164.16015625,True
