mean_nlos_dwell,policy,wAoI,wAoI_std,power,max_power,feasible
1.5,FreshSky-B,179.32708108108108,4.904782420421188,0.2330415171341543,0.48289024602311803,True
1.5,Belief-DPP oracle,179.6456756756757,5.532701534273148,0.23402439642276027,0.49477253028039014,True
1.5,TS-DPP adapted,180.70967567567567,7.045548862943999,0.26274937699562056,0.6113200855397141,True
1.5,Memoryless,177.57567567567565,6.1632364343344515,0.2666172011290872,0.6266395317086609,True
2.0,FreshSky-B,204.02345945945945,8.640231722283575,0.23207161514645716,0.4877648453830858,True
2.0,Belief-DPP oracle,203.5351891891892,7.420108163925482,0.23205089368598544,0.4852533749934249,True
2.0,TS-DPP adapted,203.33708108108107,10.14277345575293,0.2667144558644417,0.6425055420886825,True
2.0,Memoryless,197.9142162162162,8.554238225676302,0.2719305949150258,0.6567279817684278,True
3.0,FreshSky-B,242.6277297297297,11.628845730200418,0.23185926451359226,0.4679758239358153,True
3.0,Belief-DPP oracle,243.27594594594598,12.590234863387835,0.23271110120070135,0.4685913328044425,True
3.0,TS-DPP adapted,242.03000000000003,11.774216679461151,0.2694946940981909,0.6854681749972591,True
3.0,Memoryless,236.04086486486486,11.998192855160623,0.2801259022900072,0.7119124572131597,True
5.0,FreshSky-B,298.3763243243244,15.659063866529214,0.23441978827756088,0.4787106835669423,True
5.0,Belief-DPP oracle,297.69735135135136,17.36399477828579,0.23634085646836275,0.49672060471705953,True
5.0,TS-DPP adapted,302.8705405405405,16.434725776801265,0.2660896353907506,0.6719865562068568,True
5.0,Memoryless,302.12167567567565,20.096658844881112,0.2875910315849016,0.7619168171166784,True
8.0,FreshSky-B,356.244,24.438912827794304,0.23546666632024865,0.47683943834895215,True
8.0,Belief-DPP oracle,354.80118918918913,23.67896344304443,0.23665491245407916,0.5039822681560092,True
8.0,TS-DPP adapted,375.95735135135135,28.15996658933807,0.26431602846994195,0.6804069178136405,True
8.0,Memoryless,385.7727027027027,31.130739206141882,0.2960914147436898,0.8238677094975311,True
14.0,FreshSky-B,458.8243783783784,30.186031477527962,0.23719077843871475,0.48481598080847127,True
14.0,Belief-DPP oracle,458.54491891891894,25.99673341521017,0.23819983613251625,0.5001856870301806,True
14.0,TS-DPP adapted,490.2697837837838,20.402245147619155,0.26075841605387334,0.6518298801431672,True
14.0,Memoryless,525.2822702702703,40.06961385668464,0.30381777497327905,0.8494661233979721,True
20.0,FreshSky-B,540.1424324324323,40.62246466865379,0.2353853628129669,0.4728212645952393,True
20.0,Belief-DPP oracle,540.7667027027028,49.57499660146295,0.23577900226260992,0.48028928220163547,True
20.0,TS-DPP adapted,620.4556216216216,60.219726317705906,0.260886348196782,0.6498455791472978,True
20.0,Memoryless,639.0537297297298,67.83896523382133,0.30593887498660133,0.8633064924491837,True
