policy,extra_delay,seed,wAoI,worst_user_mean_aoi,p95_user_mean_aoi,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,slot_aoi_gt40,slot_aoi_gt60,mean_service_rate,worst_service_rate,jain_service_fairness,starvation_p95,starvation_max,rejection_rate,rejected_candidates,proposed_candidates,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,uav_pi_los,uav_pth,uav_mean_aoi,uav_avg_power,uav_service_rate,uav_max_queue,method,dwell,delay
FreshSky-Safe,2,0,242.9718918918919,12.848918918918919,12.52218918918919,21.0,37.0,30.922522522522524,0.006981981981981982,0.00042792792792792795,0.15522522522522522,0.05945945945945946,0.8490176421036798,19.0,71.0,0.02918918918918919,324,11100,0.21592199025045355,0.3968981496605181,23.9888734694863,0.4064864864864865,True,True,0.95;0.2315765095;0.95;0.8081176242;0.6281327393;0.795200025;0.3394136806;0.9476946562;0.5005847781;0.95;0.23436609;0.2528380647,0.3369544871;1.95400716;0.2191119648;0.5235225351;0.7414402559;0.5383055036;1.361973486;0.3438720469;0.9427001774;0.2738400263;1.931388168;1.795260579,4.053513514;12.84891892;3.878378378;4.779189189;5.794864865;4.925675676;8.661621622;4.274864865;7.744324324;4.362162162;12.25486486;10.98162162,0.08933847348;0.3944982022;0.05898257214;0.1393701884;0.1909709632;0.1481067575;0.3747267592;0.0861538885;0.2471403168;0.06868203902;0.3961955729;0.3968981497,0.2275675676;0.05945945946;0.2340540541;0.1986486486;0.1591891892;0.1905405405;0.09135135135;0.2205405405;0.1235135135;0.2172972973;0.06783783784;0.0727027027,0.3369544871;23.98887347;0.2191119648;0.8940901405;2.272962303;0.8149165108;20.60721607;0.3438720469;4.769701952;0.2738400263;23.9869149;23.97721162,Bayesian ensemble,2.0,2
FreshSky-Safe,2,1,297.27162162162165,14.452702702702704,13.830756756756756,27.0,42.0,35.854504504504504,0.011554054054054054,0.0002927927927927928,0.1335135135135135,0.057297297297297295,0.7582423386875436,23.0,70.0,0.06279279279279279,697,11100,0.276237564598019,0.39935966892501346,23.995923662637946,0.4064864864864865,True,True,0.5605092249;0.2181252996;0.2316669551;0.3707979081;0.95;0.95;0.2020086086;0.95;0.325972712;0.8362721814;0.2993435181;0.2334007936,0.8400796556;2.072097608;1.953264399;1.254604531;0.2976063768;0.2276934429;2.237061952;0.2579608484;1.414030367;0.4910760745;1.530799061;1.939147999,6.386486486;13.32189189;12.34189189;8.525405405;4.039459459;3.729459459;14.4527027;4.007297297;9.374054054;4.604594595;10.00675676;12.11621622,0.2408985175;0.3953786247;0.3980436099;0.351628351;0.08147979991;0.06713879629;0.3990434833;0.0704163397;0.3852277324;0.1418811686;0.384354683;0.3993596689,0.1516216216;0.05891891892;0.06405405405;0.09972972973;0.2335135135;0.2572972973;0.0572972973;0.2337837838;0.08567567568;0.2105405405;0.08027027027;0.06945945946,4.201194834;23.98977057;23.98623307;15.49468998;0.2976063768;0.2276934429;23.989346;0.2579608484;23.97140108;0.9464564472;23.95593424;23.99592366,Bayesian ensemble,2.0,2
FreshSky-Safe,2,2,255.9089189189189,14.107567567567568,12.889837837837836,22.0,36.0,30.295045045045047,0.005923423423423424,0.0004054054054054054,0.1425,0.05243243243243243,0.8640673197940169,20.0,78.0,0.03342342342342342,371,11100,0.23792846754233407,0.3981103912887708,23.993377019087696,0.4064864864864865,True,True,0.2983974043;0.4720337023;0.7619171253;0.95;0.6042558466;0.7527600943;0.6803453125;0.2438339011;0.7053294905;0.1925045361;0.95;0.2931742638,1.535332493;0.9986066978;0.5764720931;0.328976203;0.7746227687;0.5870535051;0.6736618433;1.858825842;0.6430324214;2.34929577;0.2710575607;1.560894842,9.268648649;7.537297297;4.962702703;4.342432432;6.114864865;5.010810811;6.433513514;11.89351351;5.430810811;14.10756757;4.198918919;9.121351351,0.3830032137;0.2650356155;0.1494153344;0.08553381277;0.2116604376;0.1562831628;0.1713285931;0.3923629683;0.1755304718;0.3981103913;0.07201340058;0.3948642086,0.08486486486;0.1194594595;0.1867567568;0.217027027;0.1548648649;0.1862162162;0.1575675676;0.06567567568;0.1762162162;0.05243243243;0.2224324324;0.08648648649,23.52594705;6.976313862;0.9294162793;0.328976203;2.870095993;1.683481546;2.04197106;23.97710656;1.630324214;23.98309748;0.2710575607;23.99337702,Bayesian ensemble,2.0,2
FreshSky-Safe,2,3,303.5421621621622,12.89054054054054,12.719594594594595,25.0,39.0,33.91126126126126,0.007905405405405406,0.0008108108108108108,0.11864864864864866,0.0627027027027027,0.7792363749577135,25.0,82.0,0.04171171171171171,463,11100,0.31385407451078995,0.39713112708814013,23.9976783836974,0.4064864864864865,True,True,0.2469621281;0.8215561338;0.8932287906;0.3220866759;0.225348274;0.2465631425;0.4834834838;0.2778755806;0.2645088005;0.3014458345;0.9387067142;0.2969367479,1.836175919;0.5080937316;0.4222105672;1.429873819;2.006740312;1.839030251;0.9755450403;1.641436133;1.719737046;1.520828652;0.3585144156;1.542388958,11.21081081;4.462432432;4.292702703;8.187567568;12.57972973;12.89054054;7.082972973;9.554324324;10.56648649;9.736486486;3.980540541;10.06351351,0.3905595805;0.1463859237;0.1195882904;0.389930455;0.3964668021;0.3971311271;0.2921361904;0.3886210952;0.3885676136;0.3851395803;0.09738026695;0.3743419688,0.06918918919;0.2116216216;0.2272972973;0.09675675676;0.0627027027;0.06756756757;0.1318918919;0.08540540541;0.07594594595;0.08432432432;0.2321621622;0.07891891892,23.99174042;0.9404686578;0.4666317017;23.99397502;23.99767838;23.97623681;9.859337538;23.94137614;23.98948183;23.01634835;0.3585144156;23.88667502,Bayesian ensemble,2.0,2
FreshSky-Safe,2,4,292.5483783783784,13.292162162162162,13.100256756756757,25.0,39.0,33.41846846846847,0.007972972972972973,0.0011036036036036036,0.11225225225225226,0.062162162162162166,0.9076246407173464,25.0,75.0,0.024054054054054055,267,11100,0.2823598990657609,0.3957299101439913,23.995121992846066,0.4064864864864865,True,True,0.662118963;0.6741961796;0.3640876;0.2460798207;0.2372011855;0.4128728207;0.5024050881;0.4159209977;0.2309431598;0.4380235493;0.7287104513;0.5641011845,0.6966749552;0.6813572012;1.27608378;1.842501298;1.908996959;1.13470463;0.9393093506;1.126874486;1.959226317;1.072981387;0.6151471375;0.8344446437,5.825945946;6.013513514;9.978648649;10.2027027;13.29216216;7.585675676;7.43;9.472162162;12.94324324;8.498108108;5.784324324;6.924054054,0.1911148864;0.17954683;0.3166067325;0.3948928457;0.3957299101;0.3140371734;0.249297779;0.2814140609;0.3944928666;0.2798451456;0.1624320955;0.2289084631,0.1621621622;0.1578378378;0.08810810811;0.07702702703;0.06216216216;0.1110810811;0.1254054054;0.09189189189;0.06243243243;0.1062162162;0.1640540541;0.1386486486,2.773399642;3.213572012;18.60642963;23.99512199;23.98553168;8.988185216;5.253784155;8.971862156;23.97887906;9.681367169;2.1211771;4.310001793,Bayesian ensemble,2.0,2
FreshSky-Safe,2,5,267.80135135135134,12.61918918918919,11.82912162162162,23.0,36.0,31.31756756756757,0.005945945945945946,0.0003153153153153153,0.1323873873873874,0.06243243243243243,0.842945940417665,22.0,69.0,0.012972972972972972,144,11100,0.2519483028578495,0.38726481511946365,23.99744594244589,0.4064864864864865,True,True,0.9411489522;0.4821824971;0.3825098869;0.7544254172;0.3523107703;0.8677360717;0.95;0.2189202535;0.8265150398;0.3376263363;0.2625732011;0.2699141276,0.3546353857;0.9781203331;1.218803669;0.5851252029;1.315645181;0.4538598372;0.2241414152;2.064668323;0.5023771293;1.368663091;1.731770293;1.687095206,4.606216216;7.72027027;8.762432432;5.493243243;10.00702703;4.881081081;4.398918919;12.61918919;4.602702703;8.788648649;10.90108108;11.1827027,0.08904223602;0.2627707057;0.337641557;0.1492859977;0.3591355764;0.1129743;0.05803445292;0.3872648151;0.1315684968;0.3665797631;0.3833296946;0.3857520389,0.2086486486;0.117027027;0.09513513514;0.1748648649;0.08513513514;0.1905405405;0.2143243243;0.06243243243;0.1986486486;0.09459459459;0.07324324324;0.07405405405,0.3546353857;6.537443997;17.1897541;1.140500811;16.38903374;0.6692991862;0.2241414152;23.99744594;1.423771293;20.79443785;23.99626068;23.97728289,Bayesian ensemble,2.0,2
FreshSky-Safe,2,6,212.14594594594595,10.652432432432432,9.943229729729728,19.0,29.0,25.07882882882883,0.0014414414414414415,0.0,0.15765765765765766,0.0745945945945946,0.9095981239557258,18.0,59.0,0.0,0,11100,0.17373609394455916,0.36637735701656127,23.12994252132168,0.4064864864864865,True,True,0.6600953202;0.4082536129;0.95;0.8542797728;0.5796663152;0.95;0.7238759829;0.298421524;0.95;0.3698913443;0.95;0.5870736138,0.6992694381;1.146768836;0.2551559305;0.4699577518;0.8105930222;0.2156180293;0.6208604762;1.535216558;0.2628816135;1.257463669;0.2571157349;0.7995478023,5.883243243;8.288108108;4.37;4.835405405;7.082972973;4.415405405;6.402432432;10.65243243;4.075135135;9.362972973;4.147027027;6.792972973,0.1818100539;0.2928909596;0.06254768351;0.1196487033;0.2015528596;0.05355485646;0.1412877084;0.366377357;0.06536515795;0.327960119;0.06525180407;0.2065858646,0.1535135135;0.1064864865;0.212972973;0.1951351351;0.1305405405;0.2110810811;0.1494594595;0.07459459459;0.2154054054;0.08837837838;0.2164864865;0.1378378378,1.994155505;10.13537673;0.2551559305;0.6098732553;4.116523245;0.2156180293;1.325162857;23.12994252;0.2628816135;12.41122841;0.2571157349;3.995930221,Bayesian ensemble,2.0,2
FreshSky-Safe,2,7,240.94351351351352,16.934594594594593,13.540499999999994,21.0,39.0,32.63603603603604,0.008716216216216216,0.0024324324324324323,0.1606981981981982,0.04891891891891892,0.8573839517053861,18.0,108.0,0.02873873873873874,319,11100,0.19391801740190676,0.39956274345351656,23.996653270875015,0.4064864864864865,True,True,0.95;0.8194645516;0.5139536145;0.1957148488;0.2668165055;0.95;0.9166527097;0.2817874583;0.4060368001;0.95;0.95;0.8957240492,0.2129344738;0.5105004868;0.9182376412;2.309972111;1.705631049;0.2143947682;0.3910280632;1.619983796;1.152645744;0.2643493157;0.2202876177;0.4190042049,4.304594595;5.085675676;7.017567568;16.93459459;10.76351351;4.526486486;4.240540541;9.826756757;8.537027027;4.194054054;4.039189189;4.407567568,0.05294586917;0.1307985031;0.2605809522;0.3995627435;0.3909121972;0.05452580456;0.1020900295;0.3831042761;0.3168218167;0.06730190685;0.05852506168;0.1098470483,0.2108108108;0.1867567568;0.1286486486;0.04891891892;0.07378378378;0.2151351351;0.2202702703;0.07810810811;0.1045945946;0.2167567568;0.2281081081;0.2164864865,0.2129344738;0.7315014605;4.782376412;23.99665327;23.84776615;0.2143947682;0.3910280632;23.97742359;10.59551592;0.2643493157;0.2202876177;0.5330294346,Bayesian ensemble,2.0,2
FreshSky-Safe,2,8,260.11135135135135,13.577297297297298,12.828999999999999,23.0,37.0,32.31531531531532,0.006554054054054054,0.0013513513513513514,0.1478828828828829,0.06054054054054054,0.8349111924583773,20.0,120.0,0.03342342342342342,371,11100,0.22812176072152304,0.3987491497171563,23.99884749273629,0.4064864864864865,True,True,0.924502767;0.7675714746;0.2938168902;0.223720696;0.8564804989;0.95;0.4732619221;0.198994158;0.3554966144;0.365156396;0.95;0.8950142286,0.3798996382;0.5699618165;1.557699888;2.021057334;0.4673466129;0.2347890628;0.9960890923;2.271318822;1.304697623;1.272612991;0.2590903055;0.4199186836,4.157567568;4.920540541;10.20810811;12.21675676;4.953243243;4.165945946;8.167567568;13.5772973;9.414594595;9.242972973;4.154594595;4.069459459,0.09938995939;0.1505007283;0.3725849733;0.3987491497;0.118352372;0.06263156892;0.2748667468;0.3922628992;0.3423949707;0.3418857602;0.06785365027;0.1159883499,0.2154054054;0.1886486486;0.08108108108;0.06378378378;0.1940540541;0.2227027027;0.1175675676;0.06054054054;0.09081081081;0.09243243243;0.2224324324;0.2251351351,0.3798996382;1.249809083;23.91989028;23.98072966;0.6020398386;0.2347890628;8.345247293;23.99884749;12.72213819;15.55803654;0.2590903055;0.4796747345,Bayesian ensemble,2.0,2
FreshSky-Safe,2,9,290.17621621621623,14.40081081081081,13.615797297297295,25.0,42.0,34.93648648648649,0.01096846846846847,0.0019369369369369369,0.1355855855855856,0.052162162162162164,0.7948778147663857,22.0,81.0,0.06063063063063063,673,11100,0.25753748339631516,0.40011538987963535,23.99677052404865,0.4064864864864865,True,True,0.3257577326;0.6871221964;0.2523803769;0.1963495047;0.5437054116;0.2493362779;0.95;0.4363495231;0.95;0.6652629851;0.95;0.2127973752,1.414897118;0.6652565043;1.798374164;2.302374716;0.8671448273;1.819394726;0.209506079;1.076896197;0.2790122724;0.6926602831;0.247425482;2.123503268,9.900810811;5.949189189;11.45675676;14.40081081;6.731621622;11.70459459;3.964594595;7.483783784;4.002432432;5.703513514;3.948918919;12.97351351,0.37360932;0.1736858873;0.3917539396;0.4001153899;0.2456129132;0.3978081982;0.05758586008;0.3108446319;0.07623821821;0.1976889889;0.06720611064;0.3983003428,0.08243243243;0.1643243243;0.07;0.05216216216;0.1391891892;0.06837837838;0.2375675676;0.1137837838;0.2356756757;0.1691891892;0.2343243243;0.06,19.49160488;1.726282521;23.99677052;23.99472673;6.744331028;23.98939065;0.209506079;7.445159281;0.2790122724;2.926602831;0.247425482;23.99267976,Bayesian ensemble,2.0,2
